stim_idx,stimulus_num,stimulus_name,valence_score,arousal_score,v_quartile,a_quartile,a_label
2,3,stimulus_3,6.4444,6.5556,2,3,1
3,4,stimulus_4,5.1111,4.3333,1,0,0
4,5,stimulus_5,2.5556,6.7778,0,3,1
6,7,stimulus_7,4.5556,4.5556,1,0,0
7,8,stimulus_8,6.7778,4.0,3,0,0
8,9,stimulus_9,3.3333,5.0,0,0,0
9,10,stimulus_10,7.8889,7.6667,3,3,1
10,11,stimulus_11,7.6667,6.7778,3,3,1
12,13,stimulus_13,8.4444,6.8889,3,3,1
14,15,stimulus_15,3.3333,6.6667,0,3,1
15,16,stimulus_16,6.8889,7.1111,3,3,1
19,20,stimulus_20,6.4444,6.4444,2,3,1
21,22,stimulus_22,4.7778,7.3333,1,3,1
36,37,stimulus_37,7.1111,6.4444,3,3,1
38,39,stimulus_39,5.8889,5.1111,2,0,0
46,47,stimulus_47,4.1111,4.3333,1,0,0
47,48,stimulus_48,2.0,4.5556,0,0,0
48,49,stimulus_49,5.6667,5.1111,2,0,0
50,51,stimulus_51,2.7778,5.1111,0,0,0
52,53,stimulus_53,4.1111,4.8889,1,0,0
54,55,stimulus_55,6.4444,6.6667,2,3,1
56,57,stimulus_57,6.2222,7.1111,2,3,1
57,58,stimulus_58,7.4444,6.7778,3,3,1
58,59,stimulus_59,3.1111,5.1111,0,0,0
60,61,stimulus_61,4.6667,4.3333,1,0,0
61,62,stimulus_62,1.4444,4.0,0,0,0
62,63,stimulus_63,4.6667,4.5556,1,0,0
63,64,stimulus_64,5.1111,4.8889,1,0,0
65,66,stimulus_66,5.4444,4.6667,1,0,0
66,67,stimulus_67,1.3333,3.0,0,0,0
67,68,stimulus_68,5.5556,5.1111,1,0,0
69,70,stimulus_70,5.5556,4.7778,1,0,0
70,71,stimulus_71,3.2222,4.7778,0,0,0
71,72,stimulus_72,4.1111,4.1111,1,0,0
76,77,stimulus_77,4.0,4.4444,1,0,0
78,79,stimulus_79,2.1111,4.1111,0,0,0
82,83,stimulus_83,7.7778,4.8889,3,0,0
93,94,stimulus_94,6.7778,4.8889,3,0,0
95,96,stimulus_96,2.6667,6.6667,0,3,1
99,100,stimulus_100,8.0,7.1111,3,3,1
100,101,stimulus_101,8.0,6.8889,3,3,1
102,103,stimulus_103,5.4444,4.5556,1,0,0
103,104,stimulus_104,1.7778,4.5556,0,0,0
105,106,stimulus_106,3.7778,4.6667,1,0,0
111,112,stimulus_112,6.1111,6.7778,2,3,1
116,117,stimulus_117,4.6667,4.0,1,0,0
119,120,stimulus_120,5.7778,4.3333,2,0,0
123,124,stimulus_124,2.8889,3.7778,0,0,0
126,127,stimulus_127,2.1111,6.5556,0,3,1
130,131,stimulus_131,5.7778,4.5556,2,0,0
131,132,stimulus_132,1.8889,4.8889,0,0,0
132,133,stimulus_133,1.6667,5.1111,0,0,0
134,135,stimulus_135,1.6667,4.2222,0,0,0
135,136,stimulus_136,2.2222,3.6667,0,0,0
136,137,stimulus_137,2.2222,3.2222,0,0,0
137,138,stimulus_138,4.7778,4.8889,1,0,0
139,140,stimulus_140,6.0,7.3333,2,3,1
140,141,stimulus_141,1.6667,3.3333,0,0,0
141,142,stimulus_142,6.2222,4.8889,2,0,0
142,143,stimulus_143,4.2222,4.8889,1,0,0
143,144,stimulus_144,5.0,4.0,1,0,0
144,145,stimulus_145,4.0,7.0,1,3,1
145,146,stimulus_146,7.2222,7.5556,3,3,1
147,148,stimulus_148,5.2222,7.1111,1,3,1
151,152,stimulus_152,8.3333,7.1111,3,3,1
152,153,stimulus_153,1.7778,5.1111,0,0,0
153,154,stimulus_154,1.2222,5.0,0,0,0
154,155,stimulus_155,4.4444,5.0,1,0,0
155,156,stimulus_156,5.2222,6.7778,1,3,1
156,157,stimulus_157,5.2222,6.8889,1,3,1
161,162,stimulus_162,7.1111,7.5556,3,3,1
162,163,stimulus_163,8.1111,6.4444,3,3,1
166,167,stimulus_167,8.1111,6.4444,3,3,1
167,168,stimulus_168,6.2222,5.0,2,0,0
169,170,stimulus_170,3.4444,7.7778,0,3,1
174,175,stimulus_175,5.7778,6.5556,2,3,1
175,176,stimulus_176,7.3333,7.7778,3,3,1
177,178,stimulus_178,6.3333,4.3333,2,0,0
178,179,stimulus_179,3.8889,4.0,1,0,0
181,182,stimulus_182,7.5556,7.5556,3,3,1
182,183,stimulus_183,6.4444,6.7778,2,3,1
183,184,stimulus_184,8.7778,6.7778,3,3,1
184,185,stimulus_185,6.6667,6.7778,2,3,1
185,186,stimulus_186,1.3333,3.6667,0,0,0
186,187,stimulus_187,1.0,5.0,0,0,0
188,189,stimulus_189,2.2222,7.4444,0,3,1
191,192,stimulus_192,8.2222,6.8889,3,3,1
193,194,stimulus_194,6.5556,5.1111,2,0,0
196,197,stimulus_197,1.2222,6.6667,0,3,1
197,198,stimulus_198,7.2222,5.1111,3,0,0
199,200,stimulus_200,5.8889,7.0,2,3,1
201,202,stimulus_202,5.4444,6.6667,1,3,1
202,203,stimulus_203,5.1111,3.7778,1,0,0
204,205,stimulus_205,6.8889,7.0,3,3,1
205,206,stimulus_206,7.4444,6.6667,3,3,1
206,207,stimulus_207,7.1111,6.5556,3,3,1
