stim_idx,cluster_id
0,26
1,26
2,29
3,21
4,6
5,15
6,14
7,14
8,10
9,21
10,19
11,7
12,33
13,29
14,34
15,19
16,15
17,25
18,5
19,18
20,6
21,41
22,18
23,28
24,48
25,23
26,8
27,3
28,5
29,10
30,41
31,49
32,39
33,26
34,30
35,7
36,31
37,32
38,44
39,48
40,24
41,26
42,37
43,31
44,41
45,41
46,46
47,47
48,10
49,28
50,41
51,17
52,11
53,27
54,26
55,45
56,41
57,33
58,35
59,33
60,16
61,36
62,17
63,30
64,31
65,45
66,3
67,37
68,31
69,40
70,43
71,41
72,47
73,42
74,46
75,32
76,41
77,27
78,5
79,33
80,37
81,27
82,13
83,18
84,23
85,11
86,19
87,35
88,36
89,10
90,7
91,16
92,31
93,2
94,11
95,32
96,3
97,20
98,37
99,41
100,7
101,45
102,3
103,36
104,43
105,22
106,29
107,32
108,13
109,21
110,33
111,17
112,17
113,23
114,36
115,31
116,44
117,40
118,7
119,18
120,29
121,19
122,35
123,45
124,18
125,33
126,36
127,6
128,28
129,16
130,17
131,10
132,10
133,5
134,11
135,3
136,23
137,49
138,43
139,12
140,25
141,3
142,36
143,17
144,7
145,15
146,5
147,2
148,21
149,30
150,30
151,18
152,8
153,9
154,49
155,4
156,1
157,30
158,12
159,31
160,45
161,4
162,45
163,30
164,24
165,43
166,43
167,33
168,41
169,29
170,21
171,49
172,45
173,35
174,41
175,18
176,41
177,42
178,42
179,33
180,31
181,34
182,36
183,12
184,5
185,17
186,49
187,41
188,45
189,21
190,13
191,46
192,33
193,2
194,36
195,5
196,9
197,12
198,16
199,29
200,31
201,18
202,10
203,41
204,18
205,9
206,42
207,30
208,8
209,45
210,26
211,30
212,29
213,0
214,41
215,5
216,30
217,32
218,31
219,5
220,23
221,8
222,48
223,9
224,33
225,18
226,9
227,19
228,37
229,18
230,23
231,1
232,30
233,41
234,12
235,3
236,24
237,34
238,45
239,32
240,41
241,18
242,11
243,9
244,29
245,36
246,18
247,41
248,29
249,25
250,3
251,9
252,5
253,36
254,41
255,25
256,26
257,8
258,29
259,0
260,31
261,31
262,30
263,12
264,24
265,11
266,10
267,7
268,29
269,6
270,16
271,11
272,46
273,21
274,38
275,10
276,3
277,35
278,18
279,46
280,45
281,32
282,8
283,43
284,6
285,33
286,16
287,18
288,33
289,21
290,5
291,47
292,19
293,3
294,16
295,24
296,6
297,48
298,45
299,35
300,49
301,5
302,33
303,31
304,17
305,11
306,39
307,40
308,37
309,9
310,3
311,35
312,41
313,2
314,13
315,11
316,16
317,28
318,33
319,33
320,3
321,27
322,43
323,48
324,5
325,6
326,34
327,41
328,21
329,12
330,6
331,10
332,19
333,8
334,2
335,30
336,30
337,36
338,14
339,34
340,29
341,20
342,43
343,30
344,45
345,6
346,21
347,41
348,26
349,21
350,7
351,32
352,26
353,7
354,42
355,26
356,34
357,29
358,30
359,47
360,44
361,4
362,1
363,31
364,43
365,46
366,39
367,41
368,21
369,41
370,41
371,49
372,18
373,44
374,23
375,10
376,1
377,12
378,19
379,21
380,33
381,6
382,24
383,46
384,24
385,33
386,21
387,43
388,36
389,43
390,41
391,7
392,41
393,14
394,15
395,31
396,10
397,15
398,23
399,21
400,2
401,37
402,41
403,3
404,37
405,37
406,48
407,23
408,38
409,21
410,9
411,16
412,38
413,45
414,29
415,41
416,12
417,31
418,15
419,49
420,7
421,48
422,6
423,16
424,49
425,16
426,13
427,3
428,7
429,41
430,24
431,2
432,42
433,22
434,41
435,36
436,31
437,24
438,1
439,14
440,6
441,6
442,30
443,11
444,33
445,40
446,29
447,13
448,30
449,21
450,45
451,24
452,26
453,21
454,33
455,41
456,31
457,34
458,1
459,36
460,36
461,44
462,37
463,11
464,42
465,7
466,46
467,38
468,40
469,17
470,5
471,33
472,21
473,13
474,33
475,18
476,23
477,5
478,24
479,10
480,9
481,14
482,13
483,23
484,1
485,12
486,48
487,17
488,43
489,34
490,1
491,6
492,23
493,9
494,33
495,1
496,3
497,1
498,5
499,23
500,39
501,30
502,48
503,31
504,31
505,3
506,3
507,43
508,45
509,3
510,18
511,10
512,1
513,35
514,14
515,43
516,18
517,42
518,30
519,27
520,34
521,13
522,21
523,21
524,31
525,5
526,12
527,47
528,42
529,21
530,16
531,31
532,47
533,21
534,21
535,32
536,5
537,37
538,14
539,45
540,47
541,21
542,8
543,8
544,21
545,21
546,31
547,2
548,2
549,15
550,42
551,39
552,30
553,26
554,38
555,17
556,30
557,44
558,32
559,34
560,30
561,7
562,21
563,13
564,24
565,16
566,10
567,43
568,31
569,29
570,17
571,19
572,21
573,46
574,16
575,43
576,11
577,26
578,37
579,30
580,45
581,9
582,16
583,17
584,27
585,37
586,43
587,7
588,26
589,26
590,32
591,31
592,12
593,41
594,30
595,23
596,31
597,36
598,27
599,12
600,10
601,13
602,42
603,30
604,44
605,11
606,35
607,29
608,21
609,26
610,46
611,42
612,18
613,39
614,42
615,5
616,33
617,14
618,37
619,19
620,16
621,31
622,5
623,19
624,40
625,39
626,21
627,9
628,18
629,33
630,1
631,12
632,13
633,3
634,7
635,10
636,41
637,0
638,1
639,33
640,47
641,31
642,9
643,18
644,49
645,11
646,33
647,31
648,2
649,9
650,16
651,23
652,13
653,33
654,1
655,35
656,35
657,2
658,16
659,22
660,42
661,21
662,17
663,26
664,45
665,33
666,38
667,30
668,38
669,7
670,34
671,30
672,34
673,29
674,33
675,5
676,11
677,13
678,10
679,8
680,32
681,46
682,27
683,23
684,1
685,1
686,6
687,26
688,45
689,36
690,46
691,43
692,33
693,21
694,33
695,20
696,21
697,12
698,31
699,46
700,10
701,1
702,45
703,44
704,48
705,17
706,1
707,27
708,7
709,27
710,17
711,7
712,26
713,19
714,9
715,48
716,26
717,20
718,14
719,10
720,16
721,1
722,16
723,5
724,22
725,26
726,32
727,6
728,41
729,36
730,44
731,33
732,41
733,41
734,16
735,24
736,5
737,43
738,31
739,41
740,7
741,29
742,21
743,8
744,21
745,30
746,32
747,34
748,41
749,31
750,10
751,31
752,37
753,43
754,10
755,12
756,17
757,14
758,28
759,38
760,21
761,16
762,25
763,1
764,29
765,7
766,36
767,41
768,41
769,9
770,31
771,33
772,47
773,45
774,24
775,11
776,29
777,1
778,30
779,16
780,3
781,3
782,3
783,2
784,48
785,17
786,24
787,16
788,33
789,44
790,42
791,19
792,35
793,26
794,1
795,16
796,13
797,27
798,16
799,41
800,36
801,36
802,49
803,41
804,26
805,5
806,1
807,40
808,5
809,21
810,46
811,12
812,5
813,31
814,1
815,46
