stim_idx,cluster_id
0,18
1,6
2,10
3,20
4,4
5,13
6,9
7,1
8,12
9,26
10,18
11,23
12,9
13,23
14,3
15,12
16,24
17,0
18,12
19,11
20,6
21,7
22,22
23,5
24,17
25,18
26,17
27,26
28,12
29,0
30,12
31,15
32,22
33,9
34,1
35,13
36,7
37,10
38,19
39,20
40,16
41,2
42,5
43,25
44,24
45,23
46,23
47,6
48,12
49,5
50,13
51,7
52,6
53,12
54,4
55,7
56,26
57,6
58,25
59,12
60,16
61,17
62,4
63,0
64,18
65,10
66,9
67,6
68,0
69,8
70,13
71,11
72,2
73,1
74,18
75,19
76,20
77,18
78,14
79,7
80,2
81,6
82,6
83,2
84,26
85,14
86,6
87,24
88,16
89,3
90,0
91,14
92,1
93,5
94,3
95,3
96,7
97,18
98,17
99,7
100,19
101,18
102,10
103,3
104,3
105,12
106,10
107,0
108,10
109,18
110,15
111,15
112,0
113,19
114,10
115,25
116,24
117,18
118,20
119,6
120,24
121,24
122,24
123,7
124,19
125,19
126,6
127,21
128,12
129,6
130,0
131,3
132,23
133,4
134,2
135,18
136,9
137,26
138,6
139,3
140,2
141,13
142,8
143,20
144,18
145,24
146,9
147,12
148,18
149,6
150,12
151,2
152,6
153,10
154,5
155,6
156,6
157,7
158,6
159,10
160,10
161,25
162,24
163,0
164,19
165,6
166,24
167,25
168,22
169,10
170,12
171,26
172,16
173,7
174,9
175,11
176,24
177,13
178,3
179,24
180,3
181,18
182,6
183,13
184,2
185,26
186,26
187,12
188,10
189,18
190,17
191,23
192,18
193,6
194,17
195,22
196,6
197,19
198,11
199,17
200,20
201,1
202,4
203,23
204,25
205,13
206,0
207,12
208,8
209,21
210,6
211,16
212,3
213,5
214,1
215,2
216,9
217,8
218,4
219,15
220,23
221,10
222,6
223,14
224,18
225,3
226,0
227,11
228,12
229,4
230,8
231,25
232,3
233,12
234,3
235,23
236,1
237,12
238,6
239,7
240,6
241,14
242,3
243,7
244,14
245,8
246,23
247,11
248,5
249,15
250,4
251,7
252,2
253,8
254,12
255,19
256,12
257,7
258,3
259,15
260,4
261,7
262,11
263,8
264,24
265,2
266,13
267,15
268,17
269,13
270,3
271,4
272,12
273,20
274,13
275,10
276,12
277,6
278,20
279,9
280,7
281,6
282,10
283,2
284,21
285,2
286,4
287,3
288,19
289,19
290,11
291,10
292,10
293,10
294,11
295,22
296,18
297,8
298,21
299,0
300,20
301,2
302,4
303,9
304,0
305,15
306,13
