stim_idx,cluster_id
0,7
1,17
2,13
3,12
4,0
5,11
6,2
7,23
8,24
9,11
10,3
11,21
12,2
13,9
14,14
15,8
16,14
17,0
18,2
19,1
20,4
21,8
22,23
23,19
24,2
25,16
26,23
27,2
28,9
29,13
30,4
31,13
32,24
33,9
34,24
35,24
36,3
37,17
38,20
39,9
40,18
41,22
42,23
43,12
44,5
45,2
46,20
47,0
48,24
49,9
50,20
51,0
52,14
53,7
54,9
55,17
56,24
57,26
58,7
59,15
60,5
61,24
62,2
63,24
64,6
65,23
66,0
67,17
68,4
69,17
70,27
71,26
72,19
73,2
74,16
75,0
76,17
77,5
78,5
79,0
80,5
81,7
82,26
83,11
84,20
85,9
86,14
87,13
88,5
89,8
90,3
91,18
92,3
93,24
94,23
95,22
96,19
97,24
98,26
99,3
100,20
101,3
102,19
103,22
104,22
105,4
106,13
107,9
108,7
109,26
110,11
111,22
112,24
113,20
114,18
115,12
116,14
117,24
118,15
119,23
120,9
121,16
122,2
123,19
124,11
125,12
126,22
127,19
128,0
129,24
130,16
131,9
132,1
133,9
134,22
135,15
136,5
137,22
138,22
139,19
140,22
141,20
142,18
143,20
144,16
145,15
146,24
147,20
148,20
149,8
150,8
151,11
152,17
153,15
154,18
155,2
156,21
157,24
158,17
159,20
160,7
161,11
162,9
163,11
164,12
165,2
166,19
167,12
168,9
169,19
170,16
171,24
172,23
173,24
174,23
175,1
176,4
177,16
178,14
179,8
180,20
181,12
182,13
183,16
184,19
185,16
186,7
187,27
188,12
189,20
190,6
191,16
192,12
193,3
194,18
195,22
196,4
197,20
198,23
199,13
200,7
201,23
202,0
203,24
204,18
205,15
206,15
207,16
208,23
209,18
210,4
211,2
212,23
213,19
214,15
215,5
216,20
217,22
218,8
219,2
220,3
221,13
222,17
223,18
224,16
225,18
226,13
227,3
228,13
229,18
230,27
231,10
232,24
233,15
234,22
235,20
236,23
237,16
238,27
239,14
240,24
241,13
242,22
243,17
244,7
245,23
246,6
247,12
248,7
249,9
250,5
251,7
252,19
253,19
254,4
255,16
256,0
257,13
258,0
259,11
260,23
261,7
262,11
263,2
264,9
265,14
266,16
267,11
268,7
269,13
270,5
271,14
272,15
273,20
274,15
275,0
276,7
277,17
278,3
279,8
280,7
281,4
282,3
283,5
284,20
285,19
286,18
287,5
288,12
289,20
290,18
291,8
292,11
293,15
294,23
295,8
296,15
297,13
298,11
299,15
300,16
301,19
302,22
303,12
304,14
305,13
306,14
307,19
308,1
309,13
310,3
311,17
312,5
313,18
314,13
315,7
316,19
317,5
318,8
319,1
320,24
321,14
322,2
323,19
324,23
325,17
326,2
327,13
328,7
329,13
330,13
331,14
332,16
333,13
334,18
335,24
336,7
337,19
338,20
339,26
340,9
341,24
342,2
343,24
344,13
345,2
346,3
347,12
348,3
349,12
350,14
351,22
352,9
353,3
354,1
355,9
356,12
357,2
358,24
359,2
360,14
361,1
362,10
363,2
364,1
365,15
366,5
367,26
368,11
369,5
370,26
371,18
372,11
373,22
374,0
375,15
376,18
377,27
378,13
379,15
380,27
381,2
382,14
383,3
384,0
385,20
386,20
387,2
388,3
389,26
390,24
391,12
392,26
393,22
394,14
395,12
396,8
397,20
398,17
399,20
400,23
401,18
402,2
403,9
404,23
405,18
406,7
407,2
408,19
409,20
410,14
411,19
412,18
413,17
414,9
415,27
416,4
417,20
418,0
419,24
420,15
421,13
422,13
423,23
424,9
425,22
426,23
427,13
428,12
429,2
430,7
431,17
432,18
433,2
434,8
435,17
436,6
437,11
438,20
439,15
440,22
441,18
442,9
443,2
444,13
445,9
446,13
447,1
448,24
449,16
450,9
451,7
452,2
453,3
454,24
455,24
456,3
457,12
458,26
459,2
460,3
461,24
462,1
463,23
464,20
465,9
466,11
467,13
468,26
469,8
470,9
471,1
472,3
473,21
474,16
475,11
476,15
477,2
478,7
479,13
480,9
481,1
482,13
483,24
484,10
485,19
486,9
487,13
488,16
489,24
490,21
491,15
492,14
493,14
494,5
495,5
496,16
497,23
498,0
499,3
500,11
501,27
502,0
503,26
504,7
505,12
506,11
507,22
508,8
509,0
510,19
511,16
512,10
513,17
514,20
515,12
516,0
517,18
518,8
519,12
520,15
521,17
522,16
523,16
524,12
525,22
526,11
527,13
528,20
