stim_idx,cluster_id
0,44
1,38
2,16
3,17
4,3
5,47
6,20
7,35
8,5
9,47
10,20
11,8
12,23
13,3
14,27
15,42
16,38
17,6
18,9
19,3
20,38
21,22
22,24
23,3
24,43
25,21
26,3
27,9
28,3
29,11
30,30
31,3
32,35
33,3
34,15
35,18
36,1
37,15
38,36
39,3
40,3
41,24
42,45
43,17
44,33
45,26
46,40
47,22
48,41
49,29
50,11
51,14
52,37
53,23
54,35
55,3
56,22
57,22
58,44
59,7
60,45
61,13
62,3
63,41
64,12
65,3
66,29
67,38
68,34
69,38
70,4
71,5
72,24
73,20
74,23
75,26
76,41
77,14
78,29
79,16
80,3
81,27
82,43
83,20
84,36
85,3
86,27
87,40
88,19
89,21
90,18
91,12
92,19
93,22
94,29
95,14
96,40
97,15
98,26
99,3
100,36
101,40
102,16
103,33
104,5
105,30
106,16
107,0
108,33
109,31
110,47
111,24
112,31
113,36
114,19
115,17
116,4
117,35
118,18
119,29
120,27
121,15
122,27
123,16
124,44
125,40
126,16
127,45
128,29
129,22
130,0
131,39
132,1
133,24
134,29
135,21
136,35
137,10
138,0
139,15
140,9
141,47
142,19
143,7
144,21
145,27
146,15
147,36
148,36
149,31
150,15
151,2
152,3
153,23
154,13
155,5
156,34
157,22
158,38
159,20
160,19
161,46
162,3
163,23
164,20
165,9
166,3
167,17
168,5
169,16
170,18
171,29
172,45
173,3
174,24
175,12
176,30
177,47
178,0
179,31
180,23
181,32
182,40
183,18
184,45
185,18
186,1
187,41
188,20
189,25
190,28
191,23
192,17
193,44
194,19
195,24
196,30
197,5
198,45
199,3
200,44
201,13
202,29
203,11
204,3
205,23
206,23
207,21
208,14
209,3
210,38
211,11
212,3
213,9
214,27
215,43
216,36
217,33
218,35
219,2
220,3
221,40
222,37
223,45
224,18
225,19
226,13
227,44
228,5
229,3
230,31
231,28
232,9
233,21
234,24
235,20
236,13
237,15
238,33
239,3
240,22
241,46
242,9
243,4
244,3
245,3
246,12
247,1
248,27
249,3
250,45
251,40
252,45
253,16
254,42
255,7
256,5
257,3
258,33
259,20
260,5
261,27
262,9
263,27
264,3
265,3
266,18
267,1
268,27
269,11
270,10
271,9
272,18
273,7
274,3
275,14
276,33
277,10
278,20
279,7
280,23
281,4
282,3
283,43
284,25
285,2
286,45
287,33
288,36
289,36
290,45
291,22
292,23
293,6
294,45
295,24
296,7
297,27
298,3
299,18
300,18
301,45
302,37
303,32
304,18
305,3
306,22
307,29
308,46
309,23
310,3
311,38
312,13
313,26
314,19
315,16
316,39
317,24
318,6
319,20
320,3
321,0
322,45
323,16
324,9
325,4
326,19
327,3
328,43
329,20
330,23
331,37
332,41
333,20
334,45
335,3
336,44
337,3
338,36
339,35
340,3
341,31
342,45
343,31
344,19
345,20
346,44
347,36
348,2
349,47
350,37
351,24
352,3
353,44
354,12
355,35
356,32
357,11
358,22
359,45
360,0
361,46
362,28
363,3
364,32
365,15
366,43
367,7
368,11
369,38
370,18
371,19
372,46
373,24
374,5
375,11
376,43
377,41
378,27
379,7
380,14
381,9
382,14
383,23
384,38
385,25
386,20
387,26
388,25
389,24
390,9
391,17
392,46
393,24
394,31
395,17
396,42
397,20
398,41
399,17
400,14
401,19
402,3
403,3
404,14
405,3
406,40
407,20
408,3
409,7
410,4
411,3
412,35
413,38
414,39
415,41
416,30
417,21
418,13
419,18
420,18
421,25
422,46
423,45
424,15
425,9
426,45
427,35
428,36
429,5
430,29
431,38
432,2
433,44
434,5
435,3
436,12
437,9
438,2
439,18
440,29
441,19
442,3
443,9
444,3
445,3
446,19
447,12
448,22
449,47
450,3
451,19
452,29
453,3
454,22
455,9
456,11
457,36
458,20
459,9
460,3
461,31
462,19
463,29
464,20
465,29
466,1
467,40
468,29
469,37
470,39
471,17
472,18
473,28
474,35
475,2
476,7
477,9
478,20
479,44
480,3
481,19
482,3
483,3
484,28
485,44
486,3
487,11
488,11
489,18
490,34
491,11
492,31
493,3
494,29
495,28
496,18
497,16
498,9
499,3
500,46
501,31
502,33
503,7
504,9
505,17
506,20
507,24
508,27
509,40
510,46
511,11
512,28
513,10
514,36
515,2
516,5
517,43
518,22
519,46
520,35
521,14
522,18
523,25
524,32
525,10
526,44
527,43
528,20
529,36
530,8
531,20
532,24
533,15
534,7
535,40
536,45
537,3
538,11
539,17
540,35
541,17
542,0
543,33
544,17
545,5
546,2
547,26
548,3
549,3
550,9
551,17
552,7
553,22
554,18
555,46
556,11
557,4
558,3
559,46
560,44
561,12
562,35
563,43
564,33
565,10
566,46
567,27
568,20
569,3
570,5
571,6
572,36
573,0
574,45
575,3
576,0
577,16
578,45
579,21
580,19
581,6
582,24
583,18
584,24
585,5
586,32
587,21
588,35
589,44
590,3
591,45
592,3
593,11
594,3
595,35
596,23
597,16
598,1
599,45
600,20
601,43
602,3
603,38
604,42
605,3
606,3
607,27
608,21
609,39
610,0
611,45
612,39
613,3
614,10
615,45
616,21
617,20
618,3
619,38
620,45
621,29
622,24
623,44
624,37
625,9
626,19
627,44
628,17
629,47
630,30
631,4
632,12
633,3
634,34
635,11
636,41
637,44
638,28
639,20
640,46
641,23
642,3
643,14
644,43
645,33
646,1
647,25
648,14
649,18
650,24
651,30
652,28
653,23
654,28
655,19
656,3
657,7
658,45
659,27
660,46
661,3
662,7
663,3
664,13
665,15
666,33
667,0
668,43
669,32
670,36
671,3
672,47
673,14
674,3
675,45
676,3
677,9
678,37
679,3
680,33
681,31
682,14
683,3
684,1
685,34
686,40
687,9
688,18
689,26
690,4
691,5
692,7
693,0
694,35
695,2
696,13
697,20
698,3
699,23
700,31
701,28
702,19
703,44
704,27
705,5
706,28
707,3
708,46
709,1
710,44
711,18
712,29
713,3
714,0
715,19
716,35
717,15
718,0
719,11
720,5
721,28
722,2
723,3
724,3
725,38
726,40
727,31
728,8
729,26
730,4
731,3
732,21
733,20
734,39
735,22
736,15
737,45
738,41
739,21
740,30
741,38
742,7
743,33
744,32
745,16
746,3
747,23
748,46
749,44
750,36
751,36
752,38
753,2
754,22
755,22
756,36
757,13
758,33
759,43
760,24
761,3
762,39
763,28
764,38
765,36
766,39
767,42
768,23
769,0
770,42
771,17
772,46
773,16
774,41
775,3
776,16
777,3
778,15
779,45
780,4
781,0
782,20
783,14
784,20
785,7
786,38
787,42
788,36
789,4
790,9
791,20
792,37
793,45
794,28
795,20
796,28
797,9
798,45
799,3
800,44
801,46
802,23
803,30
804,39
805,3
806,28
807,16
808,20
809,36
810,44
811,5
812,9
813,9
814,28
815,7
816,3
817,18
818,44
819,32
820,36
821,2
822,4
823,43
824,39
825,29
826,3
827,6
828,43
829,35
830,3
831,44
832,9
833,31
834,44
835,37
836,11
837,7
838,37
839,19
840,35
841,14
842,10
843,15
844,33
845,3
846,9
847,21
848,29
849,29
850,27
851,3
852,26
853,43
854,23
855,33
856,10
857,9
858,30
859,21
860,28
861,2
862,29
863,29
864,29
865,38
866,47
867,1
868,26
869,43
870,38
871,41
872,11
873,14
874,3
875,10
876,19
877,11
878,39
879,35
880,1
881,23
882,35
883,24
884,15
885,38
886,20
887,29
888,22
889,15
890,7
891,1
892,22
893,3
894,44
895,25
896,28
897,5
898,16
899,45
900,9
901,20
902,3
903,3
904,10
905,20
906,15
907,27
908,32
909,45
910,38
911,3
912,3
913,43
914,3
915,7
916,17
917,46
918,7
919,33
920,26
921,18
922,39
923,2
924,3
925,10
926,47
927,34
928,2
929,44
930,43
931,18
932,27
933,14
934,20
935,21
936,15
937,33
938,15
939,15
940,5
941,12
942,22
943,19
944,45
945,3
946,3
947,15
948,19
949,4
950,32
951,31
952,0
953,44
954,16
955,8
956,4
957,28
958,10
959,39
960,25
961,3
962,36
963,22
964,38
965,0
966,2
967,11
968,42
969,19
970,4
971,28
972,15
973,20
974,40
975,30
976,27
977,5
978,29
979,3
980,3
981,14
982,7
983,3
984,44
985,19
986,28
987,18
988,9
989,3
990,3
991,3
992,33
993,39
994,1
995,36
996,28
997,0
998,10
999,14
1000,3
1001,10
1002,21
1003,13
1004,22
1005,7
1006,3
1007,11
1008,6
1009,3
1010,23
1011,14
1012,2
1013,4
1014,33
1015,46
1016,3
1017,43
1018,29
1019,44
1020,14
1021,28
1022,24
1023,47
1024,36
1025,20
1026,22
1027,11
1028,27
1029,2
1030,18
1031,36
1032,0
1033,1
1034,22
1035,3
1036,17
1037,46
1038,19
1039,3
1040,20
1041,27
1042,20
1043,24
1044,0
1045,23
1046,41
1047,7
1048,0
1049,9
1050,46
1051,44
1052,13
1053,37
1054,7
1055,17
1056,41
1057,41
1058,13
1059,20
1060,21
1061,22
1062,43
1063,29
1064,9
1065,3
1066,36
1067,3
1068,9
1069,11
1070,7
1071,3
1072,31
1073,46
1074,24
1075,3
1076,3
1077,36
1078,20
1079,31
1080,41
1081,16
1082,14
1083,3
1084,20
1085,23
1086,9
1087,3
1088,0
1089,14
1090,3
1091,44
1092,10
1093,34
1094,3
1095,23
1096,3
1097,3
1098,9
1099,10
1100,42
1101,22
1102,8
1103,38
1104,20
1105,20
1106,46
1107,44
1108,33
1109,32
1110,15
1111,13
1112,39
1113,38
1114,11
1115,17
1116,43
1117,46
1118,23
1119,8
1120,28
1121,29
1122,35
1123,3
1124,44
1125,6
1126,21
1127,14
1128,47
1129,21
1130,20
1131,12
1132,13
1133,27
1134,30
1135,13
1136,4
1137,3
1138,28
