stim_idx,cluster_id
0,16
1,5
2,23
3,6
4,23
5,21
6,12
7,16
8,3
9,21
10,11
11,20
12,23
13,1
14,16
15,22
16,2
17,9
18,12
19,17
20,26
21,2
22,25
23,23
24,13
25,10
26,23
27,3
28,16
29,0
30,20
31,13
32,3
33,3
34,2
35,9
36,0
37,19
38,11
39,3
40,0
41,25
42,23
43,6
44,15
45,13
46,0
47,9
48,14
49,9
50,21
51,19
52,22
53,7
54,16
55,19
56,2
57,22
58,13
59,16
60,4
61,1
62,12
63,22
64,17
65,19
66,9
67,15
68,22
69,5
70,22
71,4
72,4
73,0
74,11
75,15
76,22
77,25
78,9
79,23
80,26
81,13
82,7
83,12
84,8
85,13
86,1
87,23
88,7
89,10
90,14
91,7
92,0
93,2
94,15
95,19
96,23
97,3
98,15
99,11
100,8
101,0
102,23
103,15
104,13
105,20
106,23
107,1
108,23
109,2
110,24
111,25
112,22
113,8
114,7
115,6
116,22
117,3
118,10
119,1
120,1
121,1
122,1
123,23
124,24
125,24
126,23
127,15
128,9
129,2
130,10
131,1
132,24
133,16
134,25
135,10
136,9
137,26
138,3
139,1
140,3
141,24
142,23
143,10
144,10
145,1
146,1
147,8
148,8
149,22
150,2
151,12
152,19
153,1
154,7
155,3
156,9
157,2
158,15
159,0
160,23
161,12
162,1
163,21
164,24
165,3
166,4
167,6
168,3
169,23
170,10
171,3
172,15
173,1
174,9
175,17
176,5
177,21
178,19
179,2
180,21
181,6
182,7
183,10
184,4
185,10
186,24
187,10
188,17
189,24
190,13
191,11
192,6
193,0
194,17
195,25
196,20
197,16
198,4
199,23
200,24
201,23
202,16
203,21
204,12
205,21
206,21
207,10
208,19
209,17
210,20
211,3
212,19
213,0
214,16
215,4
216,8
217,15
218,16
219,12
220,16
221,0
222,9
223,0
224,10
225,7
226,14
227,11
228,13
229,7
230,2
231,18
232,11
233,10
234,25
235,24
236,1
237,16
238,19
239,19
240,9
241,12
242,25
243,5
244,23
245,15
246,17
247,24
248,1
249,4
250,18
251,23
252,4
253,23
254,22
255,11
256,2
257,23
258,19
259,24
260,3
261,1
262,12
263,1
264,19
265,9
266,11
267,21
268,1
269,21
270,25
271,9
272,14
273,8
274,14
275,19
276,19
277,26
278,0
279,11
280,1
281,5
282,0
283,4
284,24
285,12
286,4
287,15
288,8
289,8
290,4
291,2
292,23
293,14
294,4
295,2
296,11
297,1
298,24
299,14
300,11
301,4
302,16
303,6
304,14
305,12
306,22
307,4
308,7
309,21
310,16
311,26
312,14
313,23
314,0
315,23
316,13
317,25
318,14
319,0
320,1
321,22
322,13
323,23
324,3
325,5
326,12
327,21
328,13
329,0
330,0
331,22
332,22
333,0
334,12
335,1
336,11
337,23
338,8
339,3
340,1
341,22
342,13
343,10
344,7
345,17
346,21
347,8
348,8
349,8
350,10
351,25
352,13
353,21
354,17
355,3
356,24
357,0
358,2
359,0
360,14
361,12
362,14
363,13
364,6
365,10
366,15
367,11
368,11
369,5
370,11
371,13
372,12
373,25
374,2
375,21
376,7
377,22
378,13
379,11
380,19
381,0
382,9
383,16
384,2
385,24
386,24
387,13
388,8
389,3
390,3
391,6
392,1
393,25
394,2
395,6
396,22
397,24
398,2
399,8
400,15
401,7
402,3
403,9
404,15
405,17
406,23
407,0
408,15
409,10
410,22
411,0
412,3
413,19
414,13
415,22
416,20
417,10
418,23
419,11
420,10
421,13
422,24
423,4
424,1
425,4
426,7
427,16
428,8
429,1
430,3
431,5
432,12
433,16
434,2
435,2
436,17
437,3
438,12
439,16
440,25
441,7
442,1
443,12
444,21
445,3
446,7
447,17
448,22
449,11
450,19
451,13
452,16
453,11
454,22
455,10
456,21
457,8
458,3
459,13
460,23
461,10
462,24
463,3
464,24
465,16
466,24
467,0
468,9
469,22
470,4
471,24
472,11
473,18
474,10
475,12
476,10
477,12
478,7
479,16
480,19
481,17
482,7
483,4
484,18
485,12
486,16
487,21
488,23
489,11
490,18
491,21
492,2
493,19
494,9
495,13
496,14
497,23
498,12
499,12
500,6
501,22
502,19
503,11
504,3
505,6
506,24
507,4
508,19
509,21
510,0
511,16
512,18
513,26
514,8
515,6
516,2
517,7
518,2
519,12
520,16
521,19
522,10
523,8
