stim_idx,cluster_id
0,10
1,15
2,14
3,17
4,14
5,27
6,13
7,20
8,1
9,23
10,20
11,11
12,20
13,14
14,16
15,9
16,5
17,16
18,20
19,21
20,18
21,23
22,7
23,14
24,6
25,2
26,15
27,5
28,14
29,6
30,5
31,14
32,15
33,14
34,28
35,26
36,8
37,14
38,22
39,14
40,12
41,0
42,13
43,23
44,8
45,10
46,23
47,28
48,1
49,5
50,21
51,8
52,15
53,6
54,28
55,13
56,20
57,6
58,10
59,22
60,20
61,25
62,20
63,17
64,2
65,6
66,16
67,28
68,27
69,14
70,18
71,23
72,25
73,20
74,10
75,6
76,10
77,28
78,6
79,25
80,13
81,28
82,2
83,9
84,25
85,14
86,14
87,16
88,6
89,6
90,6
91,25
92,14
93,10
94,20
95,25
96,12
97,14
98,20
99,14
100,10
101,16
102,12
103,15
104,10
105,20
106,13
107,16
108,15
109,10
110,9
111,10
112,1
113,21
114,28
115,7
116,20
117,28
118,5
119,20
120,8
121,14
122,14
123,16
124,23
125,14
126,16
127,20
128,10
129,15
130,1
131,3
132,7
133,16
134,15
135,1
136,21
137,15
138,25
139,14
140,26
141,27
142,25
143,8
144,6
145,14
146,5
147,20
148,6
149,28
150,8
151,27
152,14
153,12
154,17
155,1
156,29
157,8
158,15
159,6
160,13
161,25
162,14
163,25
164,17
165,26
166,13
167,7
168,21
169,21
170,20
171,28
172,12
173,12
174,5
175,27
176,18
177,7
178,10
179,10
180,12
181,11
182,20
183,10
184,14
185,2
186,2
187,6
188,17
189,17
190,4
191,5
192,23
193,28
194,23
195,28
196,1
197,20
198,16
199,13
200,27
201,25
202,15
203,10
204,14
205,10
206,26
207,17
208,0
209,26
210,5
211,25
212,14
213,5
214,25
215,27
216,17
217,28
218,10
219,21
220,14
221,22
222,28
223,25
224,1
225,15
226,28
227,22
228,28
229,14
230,21
231,29
232,20
233,15
234,5
235,23
236,15
237,21
238,13
239,13
240,6
241,2
242,20
243,8
244,14
245,14
246,27
247,22
248,16
249,13
250,25
251,23
252,13
253,12
254,1
255,0
256,5
257,14
258,15
259,12
260,27
261,16
262,6
263,28
264,14
265,14
266,15
267,22
268,13
269,6
270,1
271,15
272,16
273,17
274,14
275,0
276,5
277,26
278,13
279,16
280,13
281,15
282,14
283,9
284,23
285,16
286,6
287,16
288,23
289,2
290,25
291,18
292,16
293,14
294,14
295,5
296,20
297,0
298,12
299,8
300,1
301,13
302,16
303,11
304,13
305,16
306,5
307,6
308,12
309,16
310,14
311,15
312,8
313,20
314,20
315,27
316,3
317,16
318,18
319,9
320,16
321,10
322,25
323,12
324,6
325,15
326,9
327,26
328,6
329,15
330,12
331,14
332,12
333,6
334,23
335,14
336,6
337,14
338,23
339,23
340,13
341,15
342,14
343,20
344,23
345,9
346,12
347,21
348,28
349,22
350,10
351,0
352,14
353,2
354,2
355,28
356,2
357,0
358,10
359,21
360,5
361,23
362,29
363,14
364,2
365,13
366,8
367,23
368,17
369,28
370,6
371,6
372,17
373,9
374,16
375,6
376,12
377,10
378,13
379,16
380,14
381,20
382,15
383,5
384,28
385,27
386,21
387,28
388,20
389,6
390,10
391,21
392,0
393,5
394,15
395,11
396,26
397,25
398,28
399,21
400,13
401,27
402,13
403,13
404,2
405,14
406,20
407,25
408,18
409,17
410,15
411,14
412,2
413,15
414,3
415,20
416,23
417,20
418,26
419,10
420,27
421,2
422,23
423,14
424,28
425,25
426,16
427,21
428,23
429,28
430,15
431,15
432,2
433,6
434,16
435,13
436,29
437,26
438,2
439,0
440,1
441,25
442,14
443,20
444,14
445,14
446,6
447,25
448,0
449,21
450,13
451,5
452,13
453,14
454,1
455,16
456,5
457,20
458,0
459,20
460,14
461,28
462,21
463,5
464,17
465,28
466,2
467,7
468,10
469,6
470,14
471,6
472,15
473,24
474,28
475,6
476,16
477,6
478,20
479,28
480,13
481,23
482,13
483,13
484,19
485,5
486,14
487,6
488,13
489,20
490,19
491,5
492,26
493,14
494,10
495,22
496,15
497,25
498,16
499,14
500,11
501,5
502,5
503,20
504,1
505,12
506,22
507,9
508,9
509,8
510,9
511,15
512,24
513,8
514,21
515,11
516,1
517,25
518,10
519,23
520,10
521,18
522,21
523,20
524,23
525,9
526,21
527,27
528,9
529,21
530,5
531,27
532,20
533,13
534,0
535,2
536,22
537,14
538,12
539,2
540,10
541,11
542,15
543,26
544,2
545,6
546,0
547,1
548,14
549,14
550,12
551,11
552,15
553,15
554,0
555,23
556,21
557,5
558,14
559,27
560,25
561,27
562,25
563,16
564,28
565,15
566,25
567,6
568,20
569,14
570,15
571,26
572,17
573,16
574,10
575,13
576,21
577,17
578,26
579,20
580,27
581,13
582,16
583,10
584,26
585,21
586,23
587,16
588,28
589,15
590,13
591,8
592,14
593,16
594,14
595,6
596,12
597,15
598,21
599,16
600,22
601,16
602,13
603,8
604,5
605,15
606,14
607,5
608,2
609,3
610,0
611,12
612,3
613,14
614,9
615,13
616,6
617,14
618,14
619,21
620,13
621,13
622,0
623,28
624,5
625,5
626,20
627,21
628,7
629,12
630,19
631,18
632,7
633,14
634,19
635,8
636,10
637,23
638,19
639,12
640,26
641,10
642,14
643,26
644,28
645,9
646,12
647,2
648,28
649,21
650,15
651,27
652,4
653,23
654,4
655,8
656,13
657,1
658,25
659,13
660,21
661,14
662,27
663,20
664,1
665,5
666,5
667,13
668,9
669,20
670,21
671,14
672,9
673,15
674,14
675,13
676,14
677,16
678,15
679,14
680,1
681,5
682,27
683,14
684,7
685,29
686,27
687,14
688,17
689,25
690,18
691,21
692,11
693,2
694,17
695,23
696,16
697,10
698,12
699,6
700,28
701,24
702,23
703,23
704,13
705,26
706,19
707,14
708,16
709,20
710,23
711,0
712,23
713,14
714,15
715,13
716,6
717,15
718,28
719,14
720,20
721,16
722,12
723,14
724,13
725,18
726,12
727,5
728,16
729,6
730,18
731,25
732,10
733,20
734,3
735,16
736,20
737,13
738,0
739,6
740,1
741,5
742,17
743,16
744,11
745,28
746,15
747,21
748,25
749,2
750,20
751,23
752,15
753,23
754,15
755,0
756,17
757,8
758,14
759,2
760,16
761,14
762,3
763,19
764,18
765,2
766,3
767,0
768,15
769,1
770,26
771,2
772,10
773,25
774,28
775,13
776,14
777,14
778,0
779,25
780,0
781,28
782,12
783,28
784,9
785,17
786,5
787,14
788,2
789,8
790,9
791,25
792,15
793,18
794,29
795,12
796,19
797,26
798,6
799,14
800,6
801,25
802,6
803,18
804,3
805,14
806,11
807,15
808,20
809,5
810,20
811,1
812,26
813,16
814,4
815,21
816,5
817,22
818,25
819,23
820,21
821,10
822,0
823,6
824,3
825,5
826,15
827,9
828,12
829,10
830,0
831,9
832,20
833,10
834,25
835,28
836,6
837,12
838,15
839,0
840,16
841,22
842,15
843,26
844,13
845,13
846,16
847,10
848,26
849,5
850,26
851,14
852,22
853,27
854,23
855,5
856,5
857,10
858,0
859,10
860,4
861,25
862,15
863,5
864,28
865,14
866,23
867,6
868,15
869,22
870,15
871,26
872,20
873,5
874,14
875,16
876,16
877,22
878,3
879,18
880,14
881,25
882,20
883,16
884,13
885,8
886,12
887,15
888,15
889,5
890,6
891,14
892,6
893,13
894,20
895,23
896,4
897,25
898,9
899,14
900,2
901,21
902,14
903,20
904,0
905,12
906,14
907,13
908,17
909,2
910,18
911,20
912,14
913,5
914,14
915,25
916,22
917,21
918,20
919,8
920,2
921,1
922,3
923,21
924,14
925,14
926,6
927,4
928,2
929,16
930,7
931,22
932,28
933,25
934,25
935,21
936,13
937,28
938,20
939,26
940,6
941,27
942,23
943,25
944,12
945,10
946,13
947,13
948,6
949,8
950,22
951,16
952,28
953,25
954,26
955,1
956,28
957,29
958,18
959,3
960,11
961,14
962,12
963,15
964,14
965,20
966,25
967,28
968,0
969,14
970,5
971,29
972,14
973,15
974,2
975,18
976,28
977,22
978,5
979,13
980,14
981,1
982,16
983,14
984,17
985,16
986,27
987,5
988,16
989,14
990,13
991,13
992,0
993,3
994,23
995,17
996,29
997,20
998,5
999,8
1000,13
1001,16
1002,15
1003,7
1004,8
1005,1
1006,14
1007,22
1008,16
1009,13
1010,20
1011,18
1012,25
1013,15
1014,13
1015,6
1016,14
1017,21
1018,10
1019,25
1020,5
1021,29
1022,6
1023,15
1024,21
1025,2
1026,10
1027,22
1028,13
1029,17
1030,25
1031,20
1032,15
1033,6
1034,5
1035,20
1036,17
1037,12
1038,22
1039,0
1040,21
1041,28
1042,20
1043,5
1044,1
1045,10
1046,28
1047,26
1048,5
1049,21
1050,22
1051,28
1052,20
1053,1
1054,20
1055,11
1056,28
1057,5
1058,12
1059,25
1060,21
1061,0
1062,6
1063,28
1064,6
1065,14
1066,23
1067,14
1068,28
1069,5
1070,23
1071,14
1072,22
1073,27
1074,1
1075,13
1076,14
1077,23
1078,9
1079,18
1080,15
1081,12
1082,10
1083,28
1084,9
1085,17
1086,8
1087,14
1088,28
1089,1
1090,12
1091,12
1092,8
1093,4
1094,18
1095,20
1096,14
1097,14
1098,16
1099,8
1100,8
1101,1
1102,6
1103,28
1104,9
1105,10
1106,12
1107,6
1108,28
1109,2
1110,12
1111,5
1112,3
1113,16
1114,21
1115,23
1116,1
1117,22
1118,25
1119,28
1120,19
1121,20
1122,6
1123,14
1124,2
1125,6
1126,16
1127,14
1128,26
1129,20
1130,21
1131,4
1132,6
1133,14
1134,18
1135,6
1136,18
1137,14
1138,24
1139,17
1140,14
1141,6
1142,20
1143,14
1144,6
1145,14
1146,13
1147,13
1148,11
1149,13
1150,20
1151,26
1152,27
1153,14
1154,3
1155,13
1156,2
1157,23
1158,15
1159,27
1160,14
1161,17
1162,28
1163,20
1164,15
1165,1
1166,20
1167,15
1168,27
1169,1
1170,16
1171,12
1172,13
1173,7
1174,3
1175,17
1176,21
1177,5
1178,27
1179,15
1180,15
1181,8
1182,6
1183,3
1184,8
1185,12
1186,18
1187,27
1188,12
1189,29
1190,21
1191,25
1192,17
1193,8
1194,25
1195,24
1196,1
1197,28
1198,13
1199,0
1200,27
1201,15
1202,11
1203,18
1204,23
1205,12
1206,22
1207,8
1208,0
1209,6
1210,20
1211,20
1212,15
1213,21
1214,14
1215,21
1216,15
1217,14
1218,9
1219,2
1220,15
1221,25
1222,21
1223,28
1224,5
1225,23
1226,10
1227,27
1228,5
1229,21
1230,1
1231,10
1232,12
1233,15
1234,13
1235,10
1236,14
1237,27
1238,14
1239,17
1240,14
1241,6
1242,9
1243,27
1244,23
1245,16
1246,2
1247,0
1248,0
1249,6
1250,6
1251,5
1252,26
1253,14
1254,5
1255,23
1256,14
1257,12
1258,10
1259,28
1260,13
1261,20
1262,14
1263,8
1264,14
1265,16
1266,23
1267,1
1268,14
1269,14
1270,15
1271,6
1272,29
1273,2
1274,15
1275,14
1276,21
1277,25
1278,25
1279,6
1280,15
1281,9
1282,15
1283,15
1284,25
1285,15
1286,15
1287,5
1288,8
1289,28
1290,13
1291,14
1292,1
1293,28
1294,6
1295,6
1296,2
1297,3
1298,21
1299,16
1300,14
1301,6
1302,10
1303,10
1304,21
1305,14
1306,2
1307,12
1308,23
1309,23
1310,12
1311,22
1312,23
1313,25
1314,23
1315,23
1316,15
1317,14
1318,10
1319,5
1320,11
1321,9
1322,16
1323,28
1324,3
1325,14
1326,21
1327,14
1328,5
1329,0
1330,14
1331,14
1332,5
1333,19
1334,15
1335,27
1336,28
1337,12
1338,15
1339,8
1340,10
1341,14
1342,13
1343,1
1344,1
1345,13
1346,25
1347,28
1348,17
1349,12
1350,6
1351,15
1352,21
1353,15
1354,17
1355,15
1356,1
1357,3
1358,21
1359,8
1360,12
1361,12
1362,0
1363,3
1364,27
1365,20
1366,19
1367,14
1368,25
1369,0
1370,18
1371,20
1372,4
1373,12
1374,26
1375,24
1376,18
1377,9
1378,7
1379,15
1380,15
1381,23
1382,27
1383,6
1384,10
1385,14
1386,25
1387,23
1388,5
1389,15
1390,14
1391,28
