stim_idx,cluster_id
0,4
1,5
2,3
3,6
4,1
5,0
6,3
7,1
8,5
9,0
10,1
11,6
12,1
13,3
14,3
15,5
16,3
17,5
18,1
19,6
20,5
21,4
22,4
23,3
24,4
25,6
26,3
27,3
28,4
29,3
30,1
31,3
32,3
33,3
34,1
35,5
36,5
37,3
38,0
39,3
40,3
41,1
42,3
43,0
44,5
45,1
46,0
47,1
48,3
49,3
50,6
51,5
52,5
53,0
54,3
55,3
56,4
57,4
58,1
59,0
60,1
61,1
62,6
63,6
64,6
65,0
66,3
67,3
68,0
69,3
70,5
71,4
72,1
73,1
74,3
75,3
76,4
77,4
78,4
79,4
80,3
81,3
82,6
83,0
84,1
85,1
86,3
87,5
88,0
89,4
90,4
91,1
92,1
93,4
94,1
95,1
96,3
97,3
98,1
99,4
100,4
101,0
102,3
103,3
104,4
105,1
106,5
107,3
108,3
109,1
110,0
111,4
112,5
113,6
114,1
115,0
116,1
117,4
118,1
119,1
120,5
121,5
122,4
123,3
124,0
125,1
126,1
127,1
128,4
129,3
130,4
131,1
132,0
133,3
134,5
135,4
136,4
137,3
138,1
139,3
140,5
141,0
142,1
143,5
144,4
145,4
146,3
147,6
148,0
149,3
150,5
151,0
152,4
153,3
154,6
155,4
156,2
157,5
158,3
159,0
160,3
161,4
162,1
163,4
164,6
165,5
166,5
167,0
168,4
169,6
170,1
171,1
172,3
173,3
174,3
175,0
176,5
177,6
178,4
179,4
180,4
181,6
182,1
183,4
184,3
185,6
186,6
187,4
188,6
189,6
190,2
191,1
192,6
193,1
194,0
195,4
196,5
197,1
198,5
199,5
200,0
201,1
202,5
203,4
204,1
205,4
206,5
207,6
208,1
209,5
210,3
211,1
212,3
213,1
214,1
215,0
216,6
217,3
218,4
219,4
220,3
221,0
222,4
223,1
224,5
225,3
226,4
227,4
228,1
229,1
230,6
231,2
232,1
233,3
234,3
235,0
236,3
237,6
238,5
239,5
240,3
241,6
242,4
243,5
244,3
245,3
246,0
247,0
248,4
249,3
250,3
251,4
252,3
253,3
254,4
255,1
256,3
257,1
258,3
259,3
260,0
261,3
262,4
263,3
264,1
265,3
266,3
267,0
268,3
269,4
270,5
271,3
272,5
273,6
274,3
275,1
276,3
277,5
278,5
279,3
280,3
281,3
282,3
283,3
284,0
285,5
286,3
287,5
288,0
289,6
290,1
291,5
292,5
293,3
294,1
295,3
296,1
297,1
298,1
299,5
300,4
301,5
302,3
303,6
304,3
305,3
306,3
307,3
308,0
309,5
310,3
311,5
312,5
313,1
314,1
315,0
316,4
317,5
318,5
319,0
320,3
321,4
322,1
323,3
324,4
325,3
326,5
327,5
328,4
329,3
330,3
331,3
332,3
333,4
334,4
335,4
336,4
337,1
338,0
339,0
340,3
341,5
342,3
343,1
344,0
345,0
346,3
347,6
348,3
349,0
350,4
351,1
352,3
353,6
354,6
355,3
356,6
357,1
358,1
359,6
360,3
361,0
362,2
363,3
364,6
365,3
366,5
367,4
368,6
369,3
370,4
371,4
372,6
373,5
374,3
375,4
376,3
377,3
378,3
379,5
380,5
381,4
382,3
383,3
384,3
385,0
386,6
387,3
388,1
389,4
390,4
391,6
392,1
393,3
394,5
395,6
396,5
397,1
398,4
399,6
400,3
401,0
402,5
403,3
404,1
405,1
406,1
407,4
408,5
409,6
410,3
411,1
412,1
413,5
414,0
415,1
416,0
417,1
418,5
419,4
420,4
421,1
422,0
423,3
424,3
425,1
426,5
427,4
428,0
429,3
430,3
431,3
432,6
433,4
434,4
435,5
436,2
437,5
438,6
439,1
440,5
441,3
442,3
443,6
444,1
445,3
446,3
447,1
448,1
449,6
450,5
451,3
452,5
453,3
454,5
455,4
456,3
457,6
458,3
459,4
460,3
461,4
462,6
463,1
464,6
465,3
466,1
467,6
468,4
469,5
470,1
471,0
472,3
473,2
474,1
475,0
476,5
477,3
478,1
479,3
480,5
481,0
482,5
483,5
484,2
485,3
486,1
487,4
488,5
489,4
490,2
491,3
492,5
493,1
494,4
495,0
496,3
497,1
498,5
499,1
500,6
501,3
502,3
503,1
504,5
505,0
506,0
507,5
508,5
509,5
510,5
511,5
512,2
513,5
514,0
515,6
516,5
517,1
518,4
519,0
520,1
521,3
522,4
523,1
524,0
525,5
526,4
527,0
528,5
529,6
530,3
531,0
532,6
533,3
534,1
535,6
536,0
537,3
538,3
539,6
540,4
541,6
542,3
543,5
544,6
545,4
546,1
547,4
548,3
549,3
550,3
551,6
552,4
553,5
554,1
555,0
556,6
557,3
558,3
559,0
560,1
561,0
562,4
563,3
564,3
565,3
566,1
567,3
568,1
569,3
570,5
571,5
572,6
573,3
574,4
575,5
576,4
577,6
578,5
579,1
580,0
581,5
582,5
583,4
584,5
585,4
586,6
587,5
588,3
589,0
590,5
591,5
592,0
593,0
594,3
595,3
596,1
597,4
598,4
599,5
600,0
601,0
602,3
603,5
604,3
605,3
606,0
607,3
608,1
609,4
610,1
611,3
612,4
613,1
614,5
615,3
616,4
617,3
618,3
619,1
620,3
621,5
622,1
623,3
624,3
625,3
626,6
627,6
628,0
629,0
630,2
631,5
632,6
633,3
634,2
635,5
636,4
637,0
638,2
639,1
640,5
641,1
642,4
643,5
644,4
645,5
646,0
647,1
648,1
649,4
650,3
651,5
652,2
653,4
654,2
655,5
656,5
657,5
658,1
659,5
660,6
661,3
662,0
663,6
664,3
665,3
666,3
667,3
668,5
669,6
670,6
671,4
672,5
673,3
674,1
675,5
676,3
677,5
678,3
679,3
680,4
681,3
682,4
683,3
684,2
685,2
686,0
687,3
688,6
689,1
690,5
691,4
692,6
693,1
694,6
695,0
696,5
697,4
698,3
699,4
700,4
701,2
702,0
703,4
704,5
705,5
706,2
707,5
708,0
709,1
710,0
711,1
712,0
713,3
714,3
715,5
716,4
717,5
718,4
719,1
720,1
721,5
722,3
723,3
724,5
725,5
726,3
727,3
728,3
729,0
730,3
731,1
732,4
733,1
734,4
735,5
736,6
737,3
738,1
739,4
740,4
741,3
742,6
743,5
744,6
745,3
746,3
747,4
748,3
749,6
750,1
751,0
752,3
753,0
754,4
755,4
756,6
757,5
758,4
759,6
760,3
761,6
762,4
763,2
764,5
765,1
766,4
767,3
768,3
769,5
770,5
771,6
772,4
773,1
774,3
775,3
776,5
777,3
778,1
779,1
780,4
781,4
782,3
783,4
784,5
785,6
786,3
787,3
788,1
789,5
790,5
791,6
792,3
793,5
794,2
795,3
796,0
797,5
798,4
799,3
800,0
801,4
802,4
803,5
804,4
805,3
806,6
807,3
808,1
809,3
810,6
811,4
812,0
813,0
814,2
815,4
816,3
817,0
818,1
819,0
820,6
821,1
822,1
823,0
824,4
825,3
826,5
827,5
828,3
829,1
830,1
831,5
832,1
833,4
834,1
835,4
836,0
837,5
838,5
839,1
840,4
841,0
842,3
843,5
844,5
845,5
846,3
847,1
848,5
849,3
850,5
851,3
852,0
853,0
854,0
855,3
856,3
857,1
858,3
859,4
860,2
861,1
862,3
863,3
864,3
865,3
866,0
867,0
868,5
869,0
870,3
871,5
872,4
873,3
874,1
875,5
876,3
877,0
878,5
879,5
880,6
881,1
882,4
883,5
884,3
885,5
886,3
887,3
888,4
889,3
890,4
891,1
892,4
893,5
894,6
895,0
896,2
897,3
898,0
899,1
900,0
901,4
902,1
903,1
904,3
905,0
906,4
907,5
908,6
909,6
910,5
911,1
912,3
913,3
914,4
915,3
916,0
917,4
918,1
919,5
920,6
921,4
922,3
923,0
924,1
925,3
926,4
927,2
928,6
929,3
930,2
931,4
932,3
933,4
934,1
935,6
936,5
937,3
938,1
939,5
940,4
941,0
942,4
943,1
944,3
945,4
946,3
947,5
948,4
949,5
950,0
951,5
952,4
953,1
954,5
955,5
956,3
957,2
958,5
959,4
960,6
961,3
962,0
963,5
964,4
965,1
966,1
967,1
968,1
969,1
970,3
971,2
972,3
973,3
974,6
975,5
976,4
977,0
978,3
979,3
980,3
981,4
982,0
983,1
984,6
985,5
986,0
987,3
988,5
989,4
990,5
991,3
992,1
993,0
994,0
995,6
996,2
997,6
998,3
999,5
1000,3
1001,5
1002,5
1003,0
1004,5
1005,0
1006,3
1007,0
1008,5
1009,5
1010,1
1011,5
1012,1
1013,3
1014,3
1015,0
1016,0
1017,6
1018,4
1019,1
1020,3
1021,2
1022,5
1023,3
1024,6
1025,1
1026,4
1027,0
1028,3
1029,6
1030,1
1031,1
1032,3
1033,0
1034,3
1035,6
1036,6
1037,5
1038,0
1039,1
1040,4
1041,3
