stim_idx,cluster_id
0,4
1,6
2,4
3,12
4,3
5,12
6,8
7,9
8,0
9,12
10,10
11,9
12,4
13,3
14,3
15,0
16,13
17,0
18,0
19,8
20,5
21,13
22,0
23,3
24,12
25,9
26,4
27,12
28,13
29,13
30,7
31,3
32,5
33,13
34,12
35,12
36,13
37,3
38,10
39,5
40,3
41,13
42,3
43,8
44,3
45,8
46,10
47,0
48,13
49,3
50,13
51,12
52,5
53,13
54,12
55,13
56,3
57,11
58,1
59,0
60,2
61,8
62,3
63,13
64,12
65,13
66,12
67,7
68,13
69,13
70,13
71,8
72,13
73,3
74,3
75,12
76,9
77,12
78,12
79,12
80,5
81,5
82,7
83,13
84,9
85,12
86,5
87,6
88,12
89,0
90,13
91,12
92,3
93,0
94,13
95,2
96,13
97,3
98,8
99,3
100,10
101,3
102,3
103,13
104,13
105,2
106,3
107,13
108,12
109,12
110,8
111,12
112,0
113,10
114,4
115,1
116,0
117,3
118,9
119,0
120,3
121,13
122,5
123,0
124,1
125,8
126,6
127,3
128,6
129,6
130,13
131,14
132,8
133,13
134,12
135,12
136,12
137,5
138,6
139,14
140,12
141,10
142,13
143,9
144,12
145,6
146,3
147,13
148,12
149,5
150,0
151,13
152,5
153,9
154,3
155,0
156,2
157,12
158,6
159,3
160,12
161,4
162,5
163,13
164,10
165,13
166,5
167,8
168,13
169,12
170,2
171,13
172,0
173,14
174,4
175,4
176,6
177,12
178,13
179,13
180,13
181,12
182,13
183,12
184,13
185,12
186,13
187,13
188,4
189,3
190,1
191,3
192,10
193,13
194,12
195,0
196,11
197,10
198,8
199,4
200,13
201,12
202,12
203,10
204,8
205,4
206,0
207,13
208,13
209,12
210,7
211,3
212,13
213,13
214,4
215,0
216,4
217,0
218,12
219,12
220,4
221,10
222,7
223,8
224,12
225,14
226,0
227,9
228,13
229,3
230,12
231,1
232,0
233,13
234,0
235,1
236,3
237,0
238,5
239,14
240,6
241,12
242,0
243,13
244,3
245,14
246,1
247,8
248,0
249,3
250,2
251,0
252,3
253,13
254,7
255,12
