stim_idx,cluster_id
0,13
1,12
2,2
3,16
4,7
5,13
6,14
7,15
8,0
9,10
10,13
11,15
12,16
13,16
14,7
15,25
16,24
17,24
18,0
19,1
20,20
21,6
22,25
23,3
24,27
25,27
26,14
27,27
28,24
29,24
30,4
31,3
32,20
33,24
34,10
35,3
36,3
37,3
38,19
39,0
40,22
41,17
42,3
43,18
44,3
45,14
46,21
47,0
48,10
49,7
50,10
51,3
52,20
53,6
54,7
55,6
56,7
57,8
58,18
59,0
60,17
61,19
62,7
63,6
64,23
65,3
66,15
67,4
68,6
69,3
70,10
71,1
72,17
73,22
74,27
75,16
76,13
77,24
78,27
79,3
80,17
81,0
82,4
83,10
84,10
85,27
86,0
87,12
88,27
89,0
90,6
91,15
92,22
93,24
94,24
95,11
96,23
97,7
98,14
99,10
100,21
101,6
102,3
103,0
104,17
105,12
106,16
107,24
108,3
109,7
110,19
111,27
112,20
113,1
114,2
115,18
116,0
117,7
118,16
119,25
120,7
121,6
122,20
123,23
124,19
125,19
126,12
127,3
128,0
129,20
130,10
131,6
132,14
133,17
134,27
135,6
136,22
137,17
138,12
139,24
140,7
141,1
142,23
143,6
144,7
145,0
146,22
147,6
148,13
149,20
150,20
151,10
152,12
153,3
154,15
155,25
156,11
157,10
158,12
159,16
160,16
161,2
162,25
163,10
164,19
165,24
166,0
167,19
168,24
169,23
170,11
171,7
172,9
173,6
174,2
175,2
176,0
177,10
178,23
179,6
180,6
181,7
182,24
183,3
184,17
185,13
186,7
187,24
188,2
189,22
190,14
191,16
192,19
193,24
194,15
195,0
196,5
197,21
198,2
199,2
200,6
201,15
202,24
203,19
204,18
205,19
206,20
207,24
208,23
209,15
210,4
211,27
212,10
213,23
214,16
215,17
216,2
217,17
218,16
219,7
220,19
221,2
222,4
223,14
224,13
225,24
226,0
227,15
228,6
229,22
230,15
231,18
232,20
233,6
234,0
235,18
236,22
237,20
238,20
239,24
240,12
241,15
242,17
243,0
244,22
245,24
246,18
247,14
248,25
249,7
250,11
251,23
252,27
253,6
254,4
255,16
256,24
257,3
258,12
259,22
260,25
261,24
262,14
263,22
264,6
265,24
266,13
267,3
268,18
269,3
270,12
271,20
272,20
273,7
274,3
275,2
276,11
277,4
278,6
279,21
280,9
281,8
282,2
283,17
284,19
285,3
286,25
287,8
288,21
289,21
290,14
291,19
292,2
293,16
294,27
295,4
296,3
297,24
298,3
299,3
300,6
301,17
302,24
303,21
304,7
305,19
306,3
307,7
308,12
309,19
310,10
311,20
312,22
313,27
314,16
315,27
316,22
317,0
318,16
319,2
320,20
321,12
322,27
323,3
324,15
325,12
326,17
327,6
328,2
329,22
330,24
331,6
332,20
333,1
334,15
335,6
336,16
337,27
338,27
339,5
340,20
341,10
342,24
343,10
344,0
345,1
346,23
347,2
348,7
349,16
350,6
351,25
352,24
353,3
354,7
355,7
356,21
357,22
358,22
359,27
360,24
361,1
362,9
363,0
364,2
365,16
366,9
367,19
368,10
369,2
370,13
371,17
372,22
373,12
374,24
375,19
376,22
377,6
378,24
379,6
380,4
381,7
382,20
383,15
384,17
385,19
386,21
387,27
388,19
389,8
390,15
391,1
392,2
393,4
394,0
395,18
396,25
397,2
398,12
399,1
400,20
401,2
402,2
403,6
404,20
405,22
406,19
407,15
408,6
409,21
410,0
411,22
412,15
413,23
414,24
415,20
416,4
417,7
418,17
419,13
420,25
421,16
422,27
423,17
424,24
425,17
426,7
427,3
428,13
429,23
430,24
431,12
432,19
433,27
434,7
435,4
436,14
437,10
438,7
439,22
440,17
441,20
442,0
443,14
444,10
445,25
446,19
447,27
448,25
449,2
450,20
451,27
452,7
453,22
454,6
455,7
456,16
457,1
458,21
459,13
460,22
461,20
462,19
463,25
464,19
465,7
466,1
467,17
468,11
469,7
470,24
471,16
472,20
473,15
474,6
475,19
476,16
477,2
478,19
479,10
480,24
481,2
482,2
483,7
484,9
485,7
486,0
487,2
488,20
489,23
490,25
491,10
492,0
493,6
494,9
495,27
496,10
497,9
498,17
499,7
500,19
501,10
502,11
503,22
504,20
505,19
506,1
507,17
508,12
509,0
510,23
511,10
512,9
513,4
514,1
515,1
516,17
517,17
518,21
519,18
520,7
521,12
522,20
523,3
524,14
525,0
526,6
527,6
528,6
529,7
530,23
531,15
532,27
533,20
534,0
535,22
536,21
537,24
538,1
539,18
540,13
541,6
542,19
543,6
544,13
545,24
546,14
547,6
548,7
549,2
550,2
551,13
552,13
553,24
554,10
555,7
556,13
557,4
558,14
559,3
560,22
561,1
562,13
563,14
564,3
565,8
566,19
567,24
568,22
569,22
570,12
571,0
572,13
573,16
574,10
575,23
576,16
577,12
578,22
579,21
580,16
581,6
582,2
583,10
584,0
585,4
586,18
587,24
588,7
589,19
590,0
591,17
592,16
593,1
594,6
595,6
596,3
597,20
598,14
599,15
600,12
601,0
602,0
603,23
604,20
605,24
606,16
607,23
608,12
609,24
610,22
611,7
612,24
613,24
614,12
615,27
616,10
617,19
618,10
619,4
620,24
621,12
622,7
623,7
624,20
625,24
626,19
627,3
628,16
629,16
630,23
631,4
632,9
633,7
634,4
635,6
636,24
637,3
638,9
639,1
640,1
641,20
642,3
643,17
644,15
645,17
646,18
647,22
648,16
649,9
650,8
651,25
652,18
653,16
654,14
655,0
656,23
657,19
658,1
659,6
660,18
661,20
662,20
663,7
664,3
665,24
666,11
667,0
668,2
669,2
670,27
671,7
672,16
673,0
674,3
675,27
676,24
677,7
678,8
679,6
680,3
681,5
682,15
683,10
684,1
685,15
686,22
687,10
688,10
689,2
690,12
691,19
692,19
693,10
694,22
695,2
696,24
697,2
698,1
699,6
700,12
701,18
702,6
703,7
704,20
705,24
706,23
707,16
708,7
709,18
710,19
711,7
712,15
713,6
714,22
715,12
716,12
717,6
718,2
719,24
720,27
721,8
722,2
723,0
724,24
725,22
726,22
727,24
728,8
729,27
730,3
731,2
732,19
733,2
734,22
735,19
736,6
737,0
738,4
739,21
740,4
741,23
742,7
743,4
744,2
745,3
746,24
747,3
748,14
749,27
750,13
751,8
752,3
753,15
754,20
755,13
756,13
757,25
758,22
759,26
760,25
761,10
762,7
763,15
764,20
765,16
766,24
767,4
768,3
769,12
770,0
771,10
772,7
773,6
774,12
775,20
776,22
777,24
778,16
779,15
780,8
781,20
782,15
783,1
784,24
785,13
786,0
787,11
788,7
789,4
790,24
791,21
792,0
793,23
794,20
795,22
796,5
797,7
798,15
799,15
800,22
801,15
802,3
803,4
804,24
805,24
806,15
807,17
808,14
809,21
810,25
811,11
812,0
813,25
814,15
815,6
816,15
817,25
818,6
819,18
820,7
821,7
822,20
823,22
824,7
825,22
826,6
827,25
828,27
829,7
830,13
831,15
832,7
833,24
834,1
835,12
836,17
837,16
838,23
839,2
840,24
841,10
842,23
843,0
844,0
845,16
846,23
847,7
848,27
849,24
850,11
851,0
852,15
853,15
854,14
855,23
856,0
857,2
858,0
859,6
860,9
861,23
862,4
863,0
864,3
865,0
866,14
867,2
868,0
869,17
870,12
871,7
872,16
873,19
874,2
875,20
876,22
877,1
878,7
879,25
880,25
881,20
882,25
883,11
884,24
885,0
886,24
887,17
888,7
889,7
890,13
891,1
892,16
893,20
894,15
895,16
896,9
897,25
898,27
899,25
900,14
901,6
902,13
903,3
904,0
905,14
906,23
907,25
908,22
909,22
910,24
911,22
912,17
913,6
914,24
915,10
916,18
917,3
918,20
919,17
920,27
921,0
922,24
923,10
924,10
925,20
926,3
927,9
928,19
929,24
930,14
931,3
932,4
933,0
934,2
935,0
936,11
937,0
938,7
939,27
940,7
941,7
942,13
943,7
944,2
945,6
946,20
947,23
948,2
949,12
950,18
951,8
952,3
953,27
954,6
955,25
956,11
957,9
958,23
959,0
960,27
961,14
962,27
963,10
964,27
965,0
966,1
967,2
968,20
969,2
970,9
971,9
972,10
973,27
974,22
975,5
976,16
977,0
978,0
979,6
980,22
981,7
982,3
983,25
984,2
985,24
