stim_idx,cluster_id
0,1
1,5
2,3
3,2
4,11
5,2
6,1
7,12
8,10
9,5
10,1
11,6
12,8
13,12
14,5
15,0
16,5
17,7
18,8
19,11
20,11
21,2
22,2
23,8
24,11
25,7
26,12
27,1
28,5
29,12
30,1
31,7
32,11
33,5
34,1
35,5
36,8
37,8
38,5
39,1
40,10
41,11
42,8
43,9
44,8
45,12
46,5
47,3
48,5
49,11
50,7
51,6
52,7
53,12
54,7
55,5
56,10
57,6
58,5
59,8
60,8
61,6
62,2
63,5
64,8
65,12
66,3
67,5
68,6
69,11
70,3
71,2
72,3
73,8
74,5
75,11
76,11
77,11
78,11
79,11
80,3
81,2
82,5
83,7
84,12
85,1
86,1
87,8
88,2
89,5
90,8
91,9
92,8
93,1
94,12
95,3
96,11
97,3
98,10
99,7
100,5
101,2
102,8
103,11
104,1
105,5
106,1
107,5
108,12
109,0
110,5
111,1
112,5
113,7
114,2
115,1
116,5
117,1
118,7
119,1
120,5
121,2
122,2
123,7
124,5
125,2
126,10
127,12
128,1
129,5
130,1
131,1
132,7
133,5
134,8
135,7
136,6
137,8
138,11
139,11
140,3
141,7
142,2
143,5
144,7
145,2
146,1
147,1
148,8
149,6
150,2
151,1
152,9
153,12
154,3
155,2
156,9
157,1
158,8
159,2
160,12
161,2
162,5
163,9
164,7
165,1
166,12
167,9
168,1
169,8
170,2
171,1
172,3
173,5
174,5
175,10
176,0
177,1
178,8
179,2
180,7
181,9
182,10
183,6
184,8
185,12
186,11
187,7
188,4
189,2
190,6
191,5
192,2
193,12
194,10
195,8
196,5
197,1
198,11
199,12
200,2
201,8
202,5
203,5
204,1
205,5
206,7
207,7
208,3
209,1
210,5
211,2
212,5
213,1
214,7
215,3
216,8
217,8
218,2
219,9
220,7
221,1
222,3
223,12
224,8
225,5
226,8
227,7
228,10
229,8
230,0
231,8
232,8
233,7
234,7
235,8
236,12
237,8
238,10
239,12
240,10
241,1
242,8
243,5
244,9
245,11
246,12
247,2
248,9
249,7
250,11
251,2
252,1
253,12
254,8
255,2
256,2
257,10
258,12
259,10
260,1
261,2
262,1
263,3
264,12
265,5
266,5
267,1
268,5
269,8
270,8
271,7
272,10
273,1
274,1
275,12
276,12
277,6
278,12
279,5
280,1
281,8
282,12
283,10
284,9
285,2
286,2
287,11
288,7
289,7
290,8
291,1
292,10
293,7
294,11
295,1
296,7
297,7
298,2
299,2
300,1
301,1
302,6
303,4
304,6
305,8
306,8
307,8
308,9
309,3
310,2
311,12
312,2
313,10
314,2
315,9
316,8
317,11
318,3
319,2
320,10
321,1
322,11
323,8
324,1
325,3
326,1
327,1
328,3
329,10
330,8
331,5
332,2
333,10
334,9
335,1
336,5
337,10
338,2
339,1
340,12
341,1
342,12
343,5
344,1
345,12
346,1
347,1
348,1
349,2
350,5
351,3
352,8
353,1
354,9
355,2
