stim_idx,cluster_id
0,7
1,25
2,35
3,7
4,35
5,29
6,35
7,31
8,15
9,40
10,16
11,15
12,12
13,35
14,14
15,32
16,2
17,9
18,33
19,36
20,35
21,18
22,26
23,35
24,5
25,8
26,35
27,13
28,1
29,11
30,0
31,36
32,6
33,36
34,2
35,40
36,1
37,35
38,37
39,19
40,2
41,13
42,21
43,12
44,45
45,25
46,16
47,14
48,1
49,32
50,27
51,35
52,35
53,33
54,28
55,35
56,8
57,47
58,35
59,4
60,36
61,35
62,35
63,28
64,4
65,35
66,11
67,0
68,4
69,35
70,4
71,22
72,39
73,35
74,20
75,36
76,18
77,42
78,42
79,20
80,35
81,35
82,33
83,21
84,5
85,35
86,35
87,37
88,19
89,0
90,3
91,22
92,16
93,8
94,33
95,25
96,12
97,36
98,0
99,35
100,21
101,17
102,16
103,14
104,11
105,31
106,35
107,16
108,20
109,6
110,27
111,0
112,28
113,24
114,35
115,3
116,30
117,14
118,6
119,16
120,35
121,35
122,35
123,17
124,5
125,17
126,14
127,11
128,18
129,35
130,24
131,38
132,23
133,22
134,11
135,32
136,15
137,14
138,40
139,35
140,25
141,6
142,35
143,6
144,5
145,35
146,22
147,37
148,27
149,29
150,24
151,39
152,35
153,35
154,43
155,39
156,26
157,25
158,20
159,19
160,2
161,27
162,35
163,16
164,36
165,1
166,35
167,22
168,40
169,17
170,6
171,45
172,36
173,29
174,2
175,5
176,17
177,32
178,41
179,6
180,2
181,46
182,11
183,28
184,36
185,4
186,14
187,24
188,22
189,28
190,26
191,4
192,27
193,16
194,10
195,31
196,43
197,25
198,39
199,36
200,6
201,5
202,24
203,37
204,36
205,24
206,9
207,32
208,16
209,35
210,11
211,32
212,35
213,45
214,28
215,33
216,5
217,11
218,32
219,39
220,36
221,16
222,29
223,16
224,24
225,2
226,17
227,1
228,45
229,35
230,30
231,26
232,9
233,32
234,14
235,19
236,16
237,17
238,35
239,35
240,10
241,3
242,13
243,35
244,35
245,8
246,11
247,29
248,30
249,35
250,10
251,46
252,36
253,5
254,1
255,25
256,25
257,35
258,35
259,10
260,22
261,35
262,46
263,5
264,36
265,35
266,4
267,40
268,35
269,9
270,11
271,41
272,40
273,1
274,35
275,6
276,45
277,29
278,35
279,32
280,45
281,14
282,36
283,14
284,17
285,13
286,15
287,11
288,14
289,28
290,36
291,42
292,1
293,17
294,36
295,31
296,35
297,35
298,35
299,31
300,9
301,36
302,13
303,6
304,3
305,24
306,14
307,14
308,12
309,28
310,19
311,11
312,16
313,11
314,4
315,5
316,38
317,33
318,35
319,40
320,2
321,35
322,5
323,14
324,39
325,14
326,1
327,36
328,42
329,16
330,25
331,35
332,28
333,9
334,22
335,35
336,31
337,35
338,21
339,23
340,36
341,31
342,35
343,40
344,17
345,2
346,47
347,28
348,1
349,27
350,8
351,13
352,35
353,27
354,12
355,35
356,21
357,6
358,4
359,5
360,35
361,8
362,26
363,35
364,7
365,35
366,11
367,32
368,31
369,0
370,4
371,18
372,31
373,33
374,15
375,13
376,25
377,17
378,35
379,16
380,36
381,6
382,19
383,28
384,18
385,28
386,18
387,18
388,1
389,22
390,22
391,29
392,40
393,39
394,28
395,47
396,8
397,2
398,25
399,32
400,35
401,19
402,36
403,35
404,16
405,16
406,17
407,28
408,35
409,31
410,32
411,36
412,3
413,35
414,38
415,17
416,30
417,32
418,18
419,25
420,32
421,11
422,16
423,36
424,35
425,11
426,19
427,3
428,7
429,45
430,14
431,20
432,6
433,22
434,47
435,35
436,43
437,15
