stim_idx,cluster_id
0,1
1,1
2,4
3,0
4,1
5,10
6,9
7,6
8,10
9,5
10,6
11,8
12,3
13,10
14,3
15,3
16,3
17,3
18,7
19,0
20,8
21,3
22,6
23,4
24,10
25,7
26,1
27,2
28,7
29,0
30,0
31,10
32,9
33,7
34,6
35,3
36,10
37,3
38,0
39,6
40,2
41,2
42,1
43,6
44,4
45,7
46,2
47,9
48,10
49,3
50,5
51,9
52,3
53,5
54,9
55,8
56,6
57,10
58,10
59,7
60,9
61,10
62,9
63,3
64,5
65,10
66,7
67,2
68,8
69,1
70,8
71,1
72,0
73,5
74,4
75,9
76,3
77,9
78,2
79,2
80,2
81,7
82,2
83,9
84,5
85,7
86,7
87,4
88,1
89,0
90,6
91,4
92,7
93,6
94,1
95,10
96,4
97,6
98,1
99,7
100,9
101,9
102,10
103,10
104,9
105,8
106,3
107,4
108,4
109,0
110,0
111,1
112,3
113,7
114,1
115,0
116,6
117,4
118,9
119,2
120,0
121,3
122,4
123,10
124,6
125,4
126,10
127,9
128,4
129,6
130,6
131,10
132,4
133,10
134,1
135,3
136,1
137,3
138,10
139,7
140,0
141,0
142,1
143,0
144,6
145,9
146,3
147,0
148,7
149,3
150,3
151,5
152,1
153,7
154,2
155,7
156,8
157,10
158,10
159,1
160,10
161,1
162,4
163,7
164,2
165,1
166,9
167,7
168,9
169,10
170,6
171,3
172,9
173,10
174,9
175,2
176,10
177,0
178,10
179,3
180,7
181,9
182,4
183,0
184,10
185,3
186,5
187,0
188,4
189,4
190,1
191,10
192,6
193,5
194,2
195,9
196,8
197,10
198,9
199,4
200,3
201,1
202,10
203,4
204,9
205,7
206,7
207,7
208,1
209,4
210,8
211,1
212,4
213,10
214,6
215,2
216,7
217,4
218,8
219,9
220,7
221,2
222,6
223,2
224,3
225,5
226,0
227,4
228,10
229,1
230,7
231,1
232,7
233,7
234,1
235,7
236,1
237,10
238,8
239,4
240,6
241,1
242,9
243,10
244,3
245,1
246,4
247,10
248,1
249,2
250,2
251,3
252,9
253,4
254,9
255,7
256,1
257,1
258,4
259,0
260,3
261,3
262,3
263,4
264,10
265,1
266,6
267,5
268,1
269,6
270,1
271,9
272,3
273,6
274,6
275,3
276,4
277,4
278,2
279,3
280,0
281,1
282,7
283,1
284,7
285,6
286,4
287,2
288,7
289,9
290,2
291,7
292,8
293,6
294,2
295,2
296,6
297,10
298,5
299,3
300,10
301,2
302,10
303,7
304,6
305,9
306,6
307,9
308,2
309,7
310,6
311,8
312,10
313,4
314,4
315,1
316,9
317,1
318,3
319,1
320,0
321,6
322,2
323,10
324,9
325,3
326,2
327,4
328,2
329,9
330,4
331,10
332,8
333,9
334,1
335,10
336,5
337,10
338,7
339,0
340,9
341,3
342,2
343,3
344,2
345,2
346,4
347,0
348,7
349,0
350,7
351,10
352,9
353,0
354,2
355,10
356,3
357,2
358,8
359,9
360,6
361,1
362,4
363,10
364,7
365,6
366,10
367,5
368,5
369,3
370,0
371,7
372,2
373,2
374,0
375,10
376,2
377,10
378,2
379,3
380,10
381,6
382,4
383,10
384,3
385,10
386,4
387,1
388,7
389,6
390,6
391,5
392,2
393,7
394,3
395,10
396,6
397,0
398,10
399,7
400,10
401,4
402,6
403,4
404,9
405,2
406,1
407,2
408,1
409,6
410,3
411,2
412,0
413,3
414,7
415,4
416,8
417,8
418,4
419,3
420,3
421,2
422,7
423,2
424,7
425,0
426,10
427,7
428,0
429,4
430,5
431,3
432,9
433,6
434,7
435,7
436,7
437,0
438,7
439,3
440,1
441,2
442,10
443,1
444,7
445,6
446,2
447,2
448,3
449,0
450,10
451,8
452,10
453,4
454,3
455,3
456,10
457,6
458,8
459,0
460,0
461,6
462,1
463,1
464,7
465,10
466,0
467,7
468,5
469,9
470,9
471,2
472,6
473,8
474,3
475,10
476,6
477,9
478,5
479,10
480,10
481,7
482,2
483,0
484,10
485,6
486,0
487,5
488,10
489,6
490,4
491,5
492,6
493,3
494,1
495,4
496,10
497,4
498,0
499,0
500,0
501,7
502,2
503,8
504,0
505,0
506,7
507,1
508,3
509,10
510,2
511,9
512,10
513,10
514,6
515,9
516,8
517,0
518,4
519,9
520,6
521,1
522,9
523,7
524,0
525,9
526,0
527,2
528,6
529,7
530,1
531,7
532,3
533,7
534,7
535,4
536,1
537,6
538,3
539,0
540,7
541,5
542,6
543,4
544,5
545,1
546,9
547,4
548,2
549,6
550,7
551,5
552,6
553,1
554,6
555,9
556,6
557,3
558,4
559,2
560,0
561,2
562,5
563,1
564,10
565,9
566,2
567,10
568,0
569,10
570,9
571,6
572,7
573,10
574,9
575,8
576,3
577,1
578,2
579,3
580,7
581,3
582,10
583,0
584,1
585,0
586,7
587,3
588,7
589,5
590,4
591,9
592,4
593,10
594,3
595,6
596,0
597,4
598,1
599,10
600,0
601,1
602,1
603,3
604,9
605,10
606,10
607,7
608,10
609,9
610,6
611,9
612,9
613,7
614,3
615,9
616,6
617,0
618,6
619,6
620,2
621,10
622,6
623,7
624,3
625,2
626,4
627,7
628,5
629,7
630,8
631,3
632,2
633,10
634,9
635,7
636,6
637,0
638,9
639,0
640,10
641,6
642,4
643,10
644,10
645,2
646,3
647,7
648,10
649,5
650,1
651,1
652,8
653,10
654,4
655,4
656,9
657,3
658,1
659,10
660,8
661,10
662,6
663,6
664,8
665,10
666,4
667,5
668,4
669,7
670,7
671,0
672,6
673,2
674,10
675,9
676,1
677,3
678,6
679,7
680,10
681,0
682,0
683,10
684,2
685,1
686,4
687,0
688,6
689,4
690,6
691,6
692,6
693,0
694,6
695,5
696,1
697,9
698,10
699,0
700,7
701,8
702,2
703,6
704,2
705,1
706,1
707,7
708,7
709,6
710,2
711,7
712,4
713,3
714,3
715,4
716,9
717,10
718,3
719,9
720,0
721,0
722,0
723,9
724,8
725,10
726,2
727,7
728,10
729,2
730,8
731,7
732,0
733,4
734,9
735,10
736,0
737,1
738,8
739,6
740,3
741,3
742,3
743,4
744,7
745,10
746,4
747,7
748,10
749,3
750,0
751,9
752,3
753,6
754,1
755,1
756,0
757,2
758,4
759,9
760,9
761,10
762,7
763,0
764,8
765,7
766,10
767,4
768,0
769,2
770,9
771,5
772,2
773,10
774,6
775,10
776,10
777,2
778,0
779,9
780,3
781,7
782,5
783,3
784,9
785,3
786,1
787,2
788,3
789,10
790,10
791,9
792,7
793,4
794,7
795,7
796,4
797,7
798,2
799,9
800,7
801,6
802,3
803,1
804,10
805,9
806,2
807,4
808,9
809,6
810,10
