stim_idx,cluster_id
0,9
1,28
2,18
3,33
4,20
5,27
6,7
7,35
8,5
9,12
10,31
11,32
12,27
13,21
14,35
15,5
16,20
17,21
18,10
19,34
20,21
21,29
22,3
23,13
24,15
25,32
26,27
27,35
28,13
29,23
30,14
31,13
32,33
33,4
34,27
35,7
36,5
37,5
38,19
39,18
40,16
41,4
42,18
43,4
44,15
45,7
46,32
47,16
48,7
49,5
50,19
51,9
52,26
53,33
54,5
55,0
56,21
57,29
58,20
59,8
60,25
61,5
62,20
63,27
64,4
65,19
66,16
67,14
68,32
69,36
70,28
71,24
72,13
73,34
74,13
75,13
76,9
77,2
78,12
79,4
80,13
81,25
82,32
83,21
84,22
85,12
86,16
87,18
88,6
89,12
90,18
91,25
92,1
93,7
94,1
95,2
96,18
97,1
98,26
99,13
100,20
101,3
102,21
103,6
104,15
105,28
106,28
107,29
108,1
109,5
110,12
111,27
112,1
113,32
114,24
115,12
116,7
117,32
118,25
119,18
120,16
121,0
122,16
123,9
124,32
125,25
126,15
127,2
128,16
129,5
130,15
131,18
132,12
133,36
134,27
135,26
136,15
137,0
138,21
139,16
140,9
141,2
142,15
143,23
144,6
145,5
146,5
147,13
148,18
149,27
150,21
151,23
152,28
153,4
154,32
155,13
156,19
157,6
158,27
159,1
160,7
161,0
162,20
163,21
164,12
165,6
166,15
167,12
168,13
169,15
170,1
171,28
172,16
173,1
174,9
175,4
176,21
177,2
178,9
179,31
180,2
181,19
182,25
183,33
184,7
185,18
186,22
187,34
188,6
189,15
190,35
191,0
192,19
193,23
194,16
195,4
196,27
197,0
198,20
199,29
200,9
201,15
202,15
203,9
204,4
205,1
206,13
207,10
208,0
209,35
210,15
211,19
212,2
213,5
214,29
215,12
216,33
217,13
218,28
219,6
220,18
221,17
222,20
223,2
224,9
225,12
226,4
227,29
228,31
229,1
230,25
231,12
232,4
233,25
234,21
235,26
236,24
237,1
238,0
239,1
240,15
241,5
242,18
243,3
244,5
245,5
246,16
247,16
248,29
249,24
250,18
251,28
252,16
253,24
254,26
255,5
256,13
257,5
258,18
259,34
260,7
261,5
262,9
263,13
264,20
265,18
266,20
267,12
268,9
269,26
270,21
271,15
272,21
273,31
274,13
275,20
276,7
277,21
278,3
279,18
280,34
281,21
282,35
283,24
284,26
285,24
286,18
287,29
288,20
289,15
290,25
291,9
292,5
293,16
294,14
295,12
296,20
297,27
298,12
299,0
300,1
301,35
302,7
303,10
304,1
305,35
306,27
307,4
308,13
309,13
310,5
311,27
312,9
313,34
314,20
315,9
316,18
317,9
318,24
319,35
320,29
321,5
322,4
323,18
324,16
325,0
326,3
327,6
328,14
329,35
330,35
331,15
332,1
333,31
334,36
335,6
336,12
337,35
338,16
339,19
340,29
341,15
342,7
343,20
344,14
345,35
346,16
347,14
348,3
349,32
350,34
351,25
352,29
353,32
354,25
355,20
356,16
357,2
358,5
359,31
360,29
361,24
362,8
363,5
364,4
365,28
366,35
367,22
368,32
369,20
370,19
371,20
372,16
373,35
374,13
375,26
376,2
377,18
378,13
379,15
380,18
381,16
382,4
383,28
384,5
385,3
386,2
387,0
388,14
389,36
390,1
391,17
392,35
393,7
394,0
395,5
396,26
397,4
398,6
399,29
400,18
401,7
402,9
403,18
404,4
405,14
406,28
407,29
408,7
409,20
410,15
411,13
412,13
413,24
414,29
415,16
416,9
417,1
418,21
419,27
420,5
421,34
422,3
423,35
424,5
425,2
426,21
427,3
428,19
429,5
430,34
431,1
432,2
433,1
434,32
435,15
436,34
437,23
438,14
439,27
440,6
441,35
442,16
443,1
444,5
445,7
446,16
447,29
448,5
449,2
450,0
451,0
452,20
453,20
454,5
455,31
456,5
457,18
458,0
459,29
460,18
461,9
462,6
463,25
464,2
465,21
466,4
467,2
468,19
469,9
470,20
471,16
472,9
473,32
474,20
475,25
476,18
477,4
478,34
479,6
480,35
481,29
482,35
483,16
484,17
485,36
486,32
487,17
488,4
489,20
490,19
491,25
492,28
493,5
494,21
495,17
496,15
497,4
498,12
499,3
500,3
501,4
502,14
503,1
504,12
505,2
506,16
507,24
508,18
509,9
510,7
511,15
512,22
513,16
514,6
515,14
516,15
517,12
518,13
519,35
520,20
521,21
522,29
523,20
524,13
525,16
526,22
527,17
528,24
529,13
530,18
531,3
532,6
533,18
534,32
535,18
536,21
537,28
538,20
539,12
540,1
541,22
542,21
543,21
544,22
545,28
546,16
547,9
548,4
549,18
550,25
551,22
552,28
553,27
554,31
555,34
556,16
557,3
558,7
559,34
560,4
561,12
562,23
563,5
564,7
565,13
566,2
567,9
568,22
569,15
570,3
571,7
572,10
573,15
574,15
575,5
576,6
577,10
578,17
579,28
580,17
581,9
582,25
583,13
584,10
585,6
586,33
587,21
588,25
589,12
590,9
591,13
592,25
593,15
594,27
595,14
596,33
597,1
598,6
599,35
600,32
601,9
602,5
603,9
604,18
605,16
606,9
607,16
608,2
609,29
610,1
611,25
612,13
613,18
614,21
615,35
616,18
617,3
618,20
619,15
620,16
621,1
622,27
623,16
624,21
625,4
626,25
627,32
628,30
629,3
630,11
631,6
632,33
633,16
634,30
635,25
636,6
637,34
638,23
639,18
640,24
641,6
642,15
643,18
644,1
645,12
646,28
647,12
648,20
649,22
650,21
651,19
652,19
653,5
654,30
655,3
656,7
657,20
658,7
659,9
660,1
661,15
662,15
663,16
664,27
665,31
666,7
667,12
668,13
669,25
670,3
671,6
672,5
673,4
674,15
675,3
676,21
677,28
678,18
679,25
680,15
681,4
682,29
683,16
684,12
685,30
686,3
687,4
688,6
689,29
690,25
691,6
692,31
693,14
694,31
695,22
696,25
697,1
698,7
699,2
700,13
701,8
702,12
703,31
704,4
705,21
706,19
707,7
708,7
709,27
710,2
711,26
712,4
713,15
714,9
715,3
716,20
717,15
718,28
719,7
720,13
721,3
722,34
723,18
724,0
725,5
726,18
727,4
728,15
729,16
730,0
731,35
732,32
733,18
734,18
735,24
736,10
737,5
738,1
739,6
740,0
741,5
742,29
743,3
744,14
745,18
746,13
747,17
748,21
749,6
750,34
751,13
752,0
753,24
754,31
755,31
756,12
757,3
758,14
759,33
760,18
761,27
762,29
763,22
764,0
765,2
766,15
767,20
768,20
769,32
770,29
771,34
772,25
773,29
774,20
775,16
776,3
777,4
778,16
779,4
780,1
781,25
782,12
783,1
784,4
785,5
786,28
787,35
788,1
789,24
790,13
791,5
792,33
793,0
794,30
795,15
796,12
797,25
798,17
799,5
800,29
801,16
802,1
803,21
804,29
805,35
806,12
807,26
808,13
809,0
810,25
811,20
812,16
813,3
814,8
815,32
816,9
817,32
818,29
819,23
820,32
821,7
822,27
823,12
824,29
825,2
826,28
827,7
828,4
829,24
830,1
831,5
832,33
833,1
834,7
835,28
836,3
837,15
838,25
839,2
840,2
841,5
842,18
843,1
844,28
845,0
846,35
847,27
848,21
849,35
850,24
851,1
852,13
853,12
854,27
855,27
856,5
857,21
858,28
859,15
860,34
861,4
862,7
863,24
864,21
865,5
866,2
867,18
868,7
869,6
870,28
871,9
872,24
873,5
874,14
875,17
876,16
877,9
878,15
879,15
880,19
881,34
882,28
883,5
884,25
885,16
886,4
887,15
888,26
889,15
890,29
891,35
892,0
893,13
894,16
895,22
896,22
897,11
898,28
899,4
900,4
901,2
902,18
903,6
904,0
905,25
906,12
907,35
908,22
909,1
910,21
911,6
912,18
913,35
914,29
915,15
916,26
917,5
918,35
919,29
920,29
921,26
922,16
923,33
924,7
925,12
926,2
927,8
928,34
929,6
930,12
931,3
932,31
933,25
934,33
935,32
936,25
937,29
938,20
939,29
940,16
941,19
942,33
943,35
944,7
945,16
946,7
947,21
948,29
949,27
950,17
951,13
952,9
953,34
954,24
955,18
956,15
957,22
958,0
959,18
960,10
961,24
962,16
963,28
964,9
965,27
966,33
967,31
968,5
969,18
970,15
971,30
972,0
973,31
974,34
975,28
976,5
977,26
978,21
979,35
980,5
981,28
982,14
983,0
984,31
985,26
986,3
987,1
988,35
989,26
990,16
991,5
992,27
993,29
994,2
995,13
996,23
997,31
998,27
999,14
1000,21
1001,29
1002,26
1003,30
1004,3
1005,31
1006,2
1007,4
1008,20
1009,18
1010,5
1011,9
1012,13
1013,18
1014,2
1015,34
1016,18
1017,31
1018,29
1019,27
1020,29
1021,30
1022,25
1023,29
1024,2
1025,23
1026,6
1027,19
1028,35
1029,33
1030,5
1031,29
1032,25
1033,29
1034,36
1035,15
1036,16
1037,35
1038,4
1039,4
1040,9
1041,29
1042,3
1043,34
1044,29
1045,6
1046,27
1047,16
1048,7
1049,15
1050,9
1051,0
1052,20
1053,29
1054,33
1055,2
1056,10
1057,19
1058,3
1059,2
1060,2
1061,5
1062,6
1063,20
1064,29
1065,7
1066,1
