stim_idx,cluster_id
0,28
1,37
2,11
3,28
4,26
5,16
6,9
7,36
8,32
9,49
10,11
11,31
12,11
13,8
14,27
15,46
16,42
17,32
18,38
19,38
20,37
21,31
22,49
23,8
24,28
25,21
26,35
27,30
28,40
29,3
30,9
31,10
32,27
33,34
34,36
35,5
36,5
37,35
38,18
39,21
40,8
41,12
42,11
43,18
44,10
45,33
46,26
47,37
48,6
49,33
50,22
51,29
52,29
53,25
54,13
55,17
56,36
57,28
58,37
59,6
60,38
61,26
62,34
63,42
64,16
65,39
66,32
67,37
68,25
69,37
70,17
71,35
72,49
73,27
74,29
75,10
76,32
77,9
78,9
79,17
80,30
81,8
82,1
83,40
84,44
85,42
86,37
87,39
88,8
89,2
90,24
91,38
92,15
93,47
94,1
95,3
96,11
97,22
98,37
99,44
100,20
101,6
102,29
103,37
104,9
105,37
106,0
107,16
108,29
109,13
110,18
111,37
112,43
113,46
114,8
115,24
116,27
117,37
118,19
119,2
120,15
121,27
122,17
123,16
124,22
125,20
126,29
127,8
128,42
129,18
130,32
131,21
132,28
133,32
134,9
135,2
136,32
137,37
138,43
139,36
140,36
141,22
142,28
143,33
144,28
145,15
146,24
147,46
148,5
149,28
150,19
151,2
152,37
153,36
154,16
155,21
156,31
157,17
158,17
159,25
160,9
161,40
162,11
163,24
164,4
165,34
166,10
167,41
168,7
169,15
170,46
171,22
172,1
173,11
174,38
175,3
176,29
177,15
178,37
179,46
180,29
181,28
182,16
183,7
184,34
185,41
186,2
187,46
188,10
189,40
190,31
191,13
192,28
193,18
194,1
195,12
196,26
197,33
198,38
199,3
200,6
201,15
202,25
203,40
204,38
205,32
206,6
207,13
208,10
209,4
210,8
211,43
212,26
213,26
214,13
215,1
216,46
217,8
218,13
219,12
220,7
221,26
222,4
223,26
224,25
225,12
226,4
227,6
228,3
229,1
230,43
231,31
232,49
233,46
234,37
235,25
236,21
237,5
238,29
239,17
240,8
241,28
242,12
243,15
244,21
245,35
246,1
247,28
248,47
249,6
250,1
251,11
252,34
253,26
254,25
255,36
256,29
257,16
258,8
259,30
260,46
261,8
262,28
263,28
264,15
265,37
266,14
267,23
268,17
269,45
270,30
271,37
272,14
273,5
274,29
275,33
276,39
277,35
278,0
279,44
280,29
281,47
282,17
283,30
284,29
285,42
286,38
287,8
288,27
289,5
290,38
291,9
292,0
293,45
294,38
295,47
296,40
297,40
298,39
299,7
300,6
301,49
302,9
303,18
304,28
305,41
306,30
307,25
308,5
309,5
310,25
311,20
312,16
313,10
314,20
315,0
316,42
317,34
318,29
319,43
320,21
321,37
322,28
323,15
324,38
325,29
326,6
327,26
328,7
329,26
330,20
331,32
332,6
333,0
334,49
335,10
336,14
337,3
338,44
339,11
340,10
341,7
342,12
343,13
344,11
345,30
346,3
347,40
348,5
349,40
350,9
351,12
352,43
353,18
354,18
355,32
356,28
357,46
358,43
359,3
360,17
361,46
362,31
363,0
364,28
365,7
366,35
367,13
368,47
369,37
370,27
371,10
372,7
373,4
374,30
375,7
376,35
377,11
378,35
379,29
380,5
381,20
382,30
383,44
384,21
385,13
386,35
387,12
388,3
389,34
390,38
391,11
392,43
393,34
394,13
395,11
396,36
397,39
398,36
399,43
400,31
401,1
402,34
403,9
404,4
405,4
406,0
407,5
408,35
409,14
410,17
411,12
412,24
413,9
414,28
415,32
416,47
417,36
418,3
419,36
420,43
421,8
422,38
423,34
424,10
425,38
426,21
427,4
428,28
429,10
430,47
431,37
432,6
433,2
434,28
435,48
436,31
437,20
438,24
439,21
440,37
441,11
442,35
443,23
444,45
445,30
446,10
447,4
448,32
449,32
450,17
451,1
452,23
453,20
454,9
455,43
456,11
457,28
458,27
459,42
460,0
461,18
462,40
463,24
464,21
465,30
466,5
467,4
468,30
469,7
470,34
471,39
472,24
473,31
474,46
475,49
476,46
477,25
478,8
479,14
480,35
481,44
482,30
483,38
484,31
485,4
486,19
487,43
488,0
489,3
490,31
491,32
492,46
493,11
494,42
495,28
496,33
497,31
498,19
499,3
500,40
501,9
502,29
503,47
504,47
505,5
506,24
507,49
508,21
509,17
510,13
511,9
512,31
513,37
514,44
515,28
516,34
517,30
518,7
519,40
520,42
521,29
522,13
523,28
524,14
525,37
526,28
527,38
528,25
529,28
530,30
531,25
532,38
533,29
534,9
535,33
536,37
537,39
538,18
539,39
540,38
541,40
542,26
543,8
544,37
545,34
546,25
547,37
548,34
549,27
550,7
551,24
552,46
553,42
554,6
555,25
556,22
557,17
558,5
559,6
560,28
561,49
562,23
563,1
564,10
565,12
566,18
567,21
568,8
569,15
570,1
571,42
572,14
573,47
574,10
575,10
576,39
577,39
578,37
579,47
580,26
581,45
582,4
583,13
584,38
585,28
586,18
587,28
588,9
589,36
590,37
591,37
592,39
593,36
594,15
595,5
596,37
597,33
598,16
599,21
600,40
601,21
602,2
603,9
604,9
605,29
606,26
607,26
608,33
609,30
610,32
611,38
612,4
613,10
614,12
615,9
616,43
617,8
618,32
619,26
620,10
621,36
622,5
623,32
624,37
625,4
626,35
627,11
628,22
629,6
630,31
631,17
632,4
633,30
634,31
635,3
636,5
637,47
638,31
639,39
640,20
641,20
642,39
643,47
644,35
645,9
646,47
647,28
648,14
649,24
650,31
651,31
652,31
653,11
654,31
655,8
656,11
657,40
658,11
659,26
660,21
661,38
662,28
663,34
664,35
665,29
666,8
667,42
668,16
669,24
670,46
671,49
672,46
673,37
674,40
675,10
676,1
677,1
678,36
679,8
680,17
681,17
682,46
683,46
684,31
685,31
686,3
687,1
688,27
689,10
690,29
691,7
692,6
693,41
694,13
695,18
696,47
697,26
698,35
699,36
700,6
701,31
702,39
703,28
704,40
705,28
706,31
707,11
708,49
709,5
710,47
711,45
712,16
713,29
714,39
715,8
716,13
717,32
718,48
719,12
720,34
721,9
722,35
723,12
724,35
725,17
726,14
727,17
728,49
729,3
730,32
731,49
732,17
733,18
734,34
735,7
736,6
737,34
738,39
739,33
740,32
741,37
742,5
743,9
744,30
745,15
746,47
747,20
748,22
749,44
750,19
751,18
752,37
753,38
754,39
755,32
756,9
757,17
758,12
759,49
760,30
761,1
762,29
763,31
764,37
765,5
766,44
767,37
768,26
769,29
770,20
771,18
772,20
773,15
774,48
775,9
776,3
777,21
778,15
779,1
780,9
781,37
782,39
783,17
784,25
785,7
786,8
787,20
788,28
789,21
790,38
791,12
792,37
793,1
794,31
795,28
796,47
797,21
798,12
799,38
800,5
801,4
802,26
803,9
804,43
805,38
806,4
807,35
808,35
809,6
810,5
811,4
812,24
813,32
814,31
815,40
816,9
817,24
818,28
819,38
820,44
821,23
822,32
823,30
824,34
825,47
826,26
827,42
828,12
829,37
830,25
831,44
832,38
833,36
834,19
835,41
836,18
837,44
838,23
839,15
840,30
841,4
842,9
843,24
844,35
845,25
846,34
847,33
848,20
849,47
850,28
851,42
852,24
853,31
854,6
855,26
856,34
857,37
858,33
859,44
860,31
861,22
862,9
863,17
864,34
865,17
866,11
867,39
868,30
869,38
870,17
871,7
872,6
873,12
874,1
875,23
876,47
877,6
878,9
879,6
880,45
881,29
882,46
883,38
884,20
885,1
886,30
887,42
888,14
889,10
890,6
891,11
892,28
893,0
894,43
895,40
896,31
897,22
898,21
899,12
900,38
901,22
902,41
903,32
904,47
905,24
906,47
907,36
908,12
909,5
910,9
911,26
912,35
913,18
914,49
915,44
916,40
917,24
918,31
919,11
920,15
921,13
922,45
923,48
924,9
925,9
926,41
927,31
928,49
929,28
930,20
931,43
932,29
933,1
934,30
935,49
936,1
937,37
938,1
939,36
940,22
941,28
942,47
943,26
944,38
945,43
946,29
947,40
948,8
949,17
950,39
951,23
952,42
953,40
954,15
955,9
956,32
957,31
958,9
959,34
960,28
961,17
962,46
963,2
964,35
965,17
966,7
967,44
968,46
969,3
970,7
971,31
972,26
973,26
974,15
975,47
976,6
977,40
978,37
979,37
980,10
981,5
982,6
983,46
984,28
985,10
986,29
987,43
988,42
989,37
990,18
991,29
992,8
993,40
994,4
995,6
996,31
997,7
998,49
999,24
1000,8
1001,37
1002,29
1003,47
1004,7
1005,36
1006,28
1007,18
1008,5
1009,37
1010,15
1011,39
1012,49
1013,15
1014,9
1015,18
1016,11
1017,38
1018,42
1019,4
1020,30
1021,31
1022,2
1023,41
1024,46
1025,47
1026,9
1027,41
1028,39
1029,22
1030,44
1031,28
1032,29
1033,24
1034,49
1035,34
1036,41
1037,49
1038,10
1039,21
1040,18
1041,13
1042,8
1043,9
1044,41
1045,40
1046,32
1047,36
1048,26
1049,38
1050,49
1051,32
1052,35
1053,9
1054,47
1055,43
1056,42
1057,28
1058,1
1059,49
1060,7
1061,47
1062,16
1063,38
1064,38
1065,17
1066,9
1067,3
1068,36
1069,40
1070,33
1071,49
1072,3
1073,18
1074,12
1075,30
1076,12
1077,43
1078,35
1079,36
1080,41
