stim_idx,cluster_id
0,4
1,2
2,2
3,8
4,6
5,8
6,0
7,4
8,4
9,3
10,2
11,4
12,0
13,4
14,6
15,1
16,4
17,3
18,9
19,1
20,2
21,4
22,0
23,2
24,9
25,1
26,6
27,9
28,4
29,4
30,2
31,4
32,9
33,9
34,0
35,7
36,4
37,4
38,1
39,0
40,4
41,9
42,2
43,7
44,6
45,5
46,2
47,9
48,8
49,2
50,1
51,2
52,2
53,0
54,1
55,2
56,3
57,1
58,4
59,1
60,1
61,6
62,9
63,4
64,5
65,6
66,1
67,5
68,4
69,2
70,0
71,2
72,9
73,0
74,7
75,2
76,1
77,4
78,2
79,2
80,9
81,2
82,0
83,9
84,5
85,0
86,0
87,4
88,2
89,1
90,2
91,1
92,2
93,0
94,4
95,6
96,2
97,0
98,2
99,0
100,4
101,2
102,2
103,4
104,2
105,8
106,6
107,2
108,2
109,9
110,7
111,3
112,4
113,8
114,2
115,7
116,2
117,1
118,8
119,6
120,0
121,4
122,0
123,4
124,7
125,2
126,6
127,4
128,2
129,3
130,8
131,4
132,1
133,9
134,0
135,2
136,0
137,3
138,7
139,3
140,2
141,8
142,6
143,9
144,1
145,0
146,1
147,6
148,1
149,4
150,0
151,9
152,4
153,2
154,2
155,5
156,0
157,2
158,2
159,0
160,2
161,3
162,0
163,8
164,4
165,2
166,4
167,2
168,0
169,2
170,0
171,0
172,4
173,2
174,9
175,1
176,0
177,8
178,4
179,1
180,4
181,9
182,2
183,4
184,9
185,1
186,2
187,8
188,2
189,5
190,4
191,2
192,8
193,0
194,2
195,1
196,4
197,1
198,9
199,6
200,4
201,5
202,4
203,7
204,9
205,4
206,4
207,1
208,4
209,2
210,4
211,9
212,4
213,4
214,0
215,9
216,1
217,4
218,1
219,9
220,6
221,2
222,0
223,0
224,4
225,4
226,2
227,1
228,4
229,4
230,4
231,4
232,1
233,1
234,9
235,1
236,0
237,6
238,2
239,6
240,0
241,7
242,1
243,2
244,0
245,2
246,2
247,1
248,0
249,2
250,9
251,2
252,9
253,6
254,1
255,2
256,0
257,4
258,6
259,0
260,2
261,5
262,8
263,4
264,4
265,4
266,4
267,7
268,2
269,2
270,9
271,0
272,4
273,0
274,2
275,4
276,0
277,2
278,4
279,1
280,0
281,4
282,2
283,9
284,8
285,4
286,1
287,2
288,1
289,8
290,9
291,0
292,4
293,4
294,9
295,0
296,4
297,4
298,2
299,4
300,8
301,9
302,1
303,1
304,2
305,0
306,0
307,0
308,3
309,4
310,4
311,2
312,2
313,0
314,1
315,6
316,9
317,1
318,4
319,3
320,4
321,2
322,0
323,5
324,2
325,2
326,7
327,2
328,9
329,9
330,2
331,1
332,4
333,4
334,0
335,2
336,3
337,2
338,1
339,0
340,9
341,4
342,4
343,0
344,4
345,0
346,4
347,1
348,1
349,3
350,8
351,0
352,4
353,1
354,9
355,0
356,0
357,0
358,3
359,1
360,2
361,7
362,6
363,6
364,9
365,4
366,2
367,2
368,7
369,5
370,0
371,5
372,7
373,1
374,5
375,3
376,5
377,8
378,0
379,2
380,0
381,2
382,1
383,1
384,5
385,4
386,4
387,0
388,6
389,9
390,1
391,0
392,3
393,9
394,5
395,0
396,4
397,2
398,2
399,7
400,2
401,5
402,0
403,9
404,0
405,4
406,4
407,6
408,9
409,8
410,4
411,2
412,0
413,4
414,0
415,4
416,4
417,1
418,5
419,2
420,1
421,5
422,3
423,2
424,0
425,9
426,3
427,9
428,9
429,4
430,0
431,4
432,7
433,0
434,5
435,5
436,1
437,0
438,2
439,8
440,2
441,2
442,5
443,3
444,2
445,1
446,0
447,5
448,4
449,4
450,4
451,2
452,1
453,4
454,3
455,7
456,2
457,9
458,4
459,5
460,6
461,4
462,4
463,9
464,7
465,2
466,8
467,0
468,0
469,0
470,9
471,2
472,3
473,6
474,4
475,9
476,8
477,1
478,0
479,4
480,6
481,5
482,0
483,1
484,9
485,2
486,0
487,0
488,6
489,1
490,4
491,4
492,1
493,4
494,1
495,4
496,8
497,4
498,1
499,1
500,3
501,0
502,0
503,5
504,4
505,4
506,7
507,7
508,0
509,2
510,3
511,2
512,4
513,1
514,1
515,1
516,5
517,4
518,5
519,3
520,2
521,4
522,8
523,6
524,0
525,3
526,8
527,4
528,9
529,1
530,9
531,6
532,1
533,2
534,1
535,6
536,1
537,2
538,7
539,4
540,1
541,9
542,2
543,4
544,2
545,1
546,1
547,5
548,5
549,5
550,9
551,3
552,1
553,6
554,1
555,3
556,0
557,2
558,2
559,7
560,9
561,7
562,4
563,0
564,4
565,9
566,7
567,0
568,4
569,0
570,9
571,4
572,0
573,0
574,2
575,2
576,0
577,2
578,0
579,1
580,0
581,2
582,0
583,4
584,9
585,2
586,3
587,6
588,4
589,4
590,2
591,0
592,4
593,3
594,6
595,1
596,4
597,6
598,3
599,6
600,1
601,2
602,1
603,5
604,4
605,6
606,6
607,0
608,2
609,1
610,2
611,9
612,1
613,2
614,9
615,2
616,4
617,0
618,0
619,2
620,4
621,4
622,1
623,0
624,0
625,2
626,0
627,0
628,0
629,8
630,9
631,2
632,3
633,2
634,7
635,4
636,4
637,0
638,2
639,8
640,3
641,4
642,4
643,4
644,1
645,2
646,1
647,5
648,2
649,8
650,1
651,1
652,2
653,7
654,3
655,0
656,9
657,1
658,9
659,0
660,3
661,9
662,1
663,9
664,0
665,2
666,4
667,2
668,9
669,5
670,1
671,0
672,4
673,2
674,4
675,1
676,0
677,9
678,8
679,4
680,4
681,0
682,0
683,4
684,0
685,4
686,2
687,2
688,2
689,5
690,2
691,7
692,1
693,8
694,2
