stim_idx,cluster_id
0,1
1,2
2,4
3,0
4,2
5,1
6,2
7,1
8,1
9,3
10,2
11,0
12,4
13,2
14,4
15,1
16,0
17,3
18,6
19,2
20,2
21,0
22,2
23,4
24,6
25,1
26,2
27,2
28,4
29,1
30,4
31,1
32,6
33,6
34,5
35,2
36,1
37,0
38,2
39,2
40,0
41,6
42,2
43,3
44,2
45,4
46,4
47,1
48,1
49,2
50,1
51,2
52,4
53,2
54,1
55,1
56,3
57,2
58,5
59,1
60,2
61,4
62,6
63,2
64,4
65,2
66,1
67,2
68,1
69,2
70,5
71,1
72,2
73,5
74,2
75,2
76,1
77,1
78,1
79,2
80,2
81,4
82,5
83,6
84,2
85,5
86,2
87,2
88,4
89,2
90,4
91,1
92,4
93,5
94,1
95,4
96,4
97,5
98,4
99,1
100,2
101,2
102,1
103,2
104,2
105,0
106,4
107,2
108,4
109,6
110,2
111,3
112,2
113,1
114,4
115,1
116,4
117,2
118,0
119,2
120,4
121,1
122,5
123,2
124,2
125,2
126,2
127,1
128,4
129,3
130,1
131,0
132,4
133,6
134,1
135,1
136,1
137,3
138,3
139,3
140,2
141,1
142,4
143,1
144,2
145,2
146,2
147,2
148,1
149,5
150,5
151,6
152,2
153,4
154,4
155,2
156,2
157,4
158,4
159,5
160,4
161,3
162,2
163,0
164,5
165,4
166,2
167,4
168,1
169,2
170,1
171,5
172,0
173,1
174,6
175,1
176,5
177,1
178,2
179,2
180,1
181,6
182,4
183,2
184,6
185,1
186,1
187,0
188,2
189,4
190,0
191,4
192,1
193,5
194,4
195,1
196,1
197,1
198,6
199,1
200,1
201,2
202,2
203,2
204,6
205,2
206,2
207,1
208,2
209,1
210,0
211,6
212,1
213,2
214,1
215,4
216,1
217,1
218,2
219,6
220,2
221,4
222,1
223,5
224,1
225,5
226,2
227,2
228,4
229,4
230,1
231,2
232,1
233,2
234,1
235,4
236,4
237,2
238,2
239,2
240,5
241,3
242,1
243,4
244,2
245,4
246,2
247,1
248,4
249,2
250,6
251,2
252,6
253,4
254,1
255,2
256,5
257,2
258,4
259,5
260,4
261,2
262,1
263,2
264,0
265,2
266,1
267,3
268,2
269,2
270,2
271,5
272,2
273,1
274,1
275,2
276,4
277,2
278,2
279,1
280,5
281,0
282,2
283,6
284,0
285,5
286,1
287,1
288,2
289,0
290,6
291,4
292,0
293,0
294,6
295,5
296,0
297,0
298,4
299,1
300,2
301,2
302,1
303,1
304,4
305,5
306,5
307,5
308,3
309,2
310,2
311,4
312,4
313,2
314,1
315,4
316,6
317,1
318,2
319,3
320,2
321,2
322,2
323,2
324,1
325,2
326,3
327,4
328,4
329,4
330,4
331,2
332,1
333,1
334,5
335,2
336,3
337,4
338,2
339,1
340,1
341,2
342,1
343,5
344,1
345,1
346,1
347,2
348,1
349,1
350,0
351,5
352,2
353,1
354,4
355,5
356,2
357,5
358,3
359,2
360,4
361,3
362,2
363,2
364,6
365,1
366,2
367,1
368,1
369,4
370,2
371,2
372,3
373,2
374,2
375,1
376,2
377,1
378,2
379,4
380,2
381,5
382,2
383,1
384,2
385,2
386,2
387,5
388,4
389,1
390,1
391,5
392,1
393,6
394,4
395,1
396,1
397,4
398,2
399,2
400,4
401,4
402,5
403,2
404,5
405,2
406,2
407,2
408,2
409,2
410,0
411,2
412,5
413,2
414,2
415,1
416,4
417,2
418,4
419,4
420,1
421,4
422,3
423,1
424,5
425,1
426,2
427,2
428,6
429,2
430,5
431,1
432,2
433,1
434,2
435,2
436,2
437,5
438,4
439,2
440,1
441,2
442,2
443,3
444,2
445,1
446,5
447,4
448,1
449,1
450,1
451,5
452,1
453,0
454,2
455,3
456,2
457,6
458,4
459,4
460,4
461,1
462,1
463,1
464,3
465,1
466,1
467,2
468,5
469,1
470,6
471,2
472,1
473,4
474,4
475,1
476,0
477,1
478,5
479,1
480,4
481,4
482,5
483,2
484,1
485,2
486,2
487,2
488,4
489,1
490,4
491,1
492,2
493,4
494,1
495,2
496,0
497,2
498,1
499,1
500,3
501,1
502,5
503,2
504,1
505,4
506,2
507,2
508,4
509,1
510,3
511,1
512,1
513,4
514,2
515,1
516,4
517,1
518,2
519,1
520,4
521,0
522,0
523,4
524,5
525,3
526,1
527,1
528,2
529,2
530,4
531,2
532,1
533,4
534,1
535,4
536,2
537,4
538,3
539,0
540,1
541,1
542,2
543,2
544,1
545,2
546,2
547,2
548,2
549,2
550,1
551,2
552,1
553,4
554,1
555,3
556,5
557,4
558,4
559,4
560,6
561,3
562,1
563,5
564,4
565,1
566,3
567,2
568,1
569,4
570,6
571,0
572,5
573,5
574,4
575,2
576,5
577,4
578,5
579,2
580,4
581,4
582,2
583,2
584,6
585,2
586,1
587,4
588,1
589,1
590,2
591,5
592,0
593,1
594,2
595,1
596,2
597,4
598,3
599,4
600,1
601,4
602,1
603,4
604,1
605,2
606,4
607,5
608,4
609,1
610,2
611,2
612,2
613,4
614,2
615,2
616,5
617,4
618,1
619,5
620,2
621,0
622,1
623,1
624,5
625,2
626,5
627,5
628,1
629,1
630,2
631,4
632,3
633,4
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,2
642,2
643,2
644,1
645,6
646,1
647,2
648,4
649,2
650,1
651,1
652,2
653,2
654,3
655,4
656,2
657,1
658,6
659,5
660,3
661,4
662,1
663,6
664,5
665,4
666,4
667,4
668,1
669,2
670,1
671,1
672,1
673,4
674,0
675,1
676,1
677,6
678,0
679,2
680,2
681,5
682,5
683,1
684,5
685,2
686,4
687,2
688,4
689,4
690,2
691,3
692,1
693,0
694,4
695,5
696,4
697,2
698,4
699,5
700,2
701,5
702,2
703,1
704,4
705,2
706,3
707,5
708,3
709,1
710,4
711,1
712,5
713,5
714,5
715,2
716,1
717,1
718,4
719,4
720,2
721,2
722,2
723,2
724,1
725,2
726,2
727,0
728,6
729,4
730,2
731,3
732,0
733,0
734,6
735,1
736,2
737,6
738,5
739,0
740,4
741,4
742,1
743,2
744,4
745,4
746,2
747,2
748,3
749,2
750,1
751,1
752,4
753,6
754,1
755,1
756,1
757,2
758,4
759,1
760,2
761,1
762,6
763,1
764,1
765,1
766,2
767,2
768,4
769,2
770,6
771,1
772,2
773,0
774,1
775,2
776,1
777,4
778,1
779,6
780,0
781,1
782,4
783,0
784,1
785,1
786,4
787,2
788,6
789,4
790,3
791,2
792,1
793,1
794,2
795,0
796,4
797,3
798,6
799,5
800,1
801,1
802,2
803,4
804,2
805,1
806,6
807,4
808,2
809,2
810,1
811,0
812,2
813,1
814,1
815,1
816,4
817,6
818,2
819,1
820,0
821,1
822,2
823,1
824,6
825,1
826,4
827,2
828,4
829,6
830,2
831,3
832,1
833,2
834,1
835,1
836,1
837,5
838,2
839,5
840,2
841,1
842,4
843,0
844,2
845,2
846,4
847,2
848,3
849,1
850,1
851,5
852,2
853,2
854,1
855,4
856,2
857,5
858,2
859,1
860,2
861,1
862,3
863,2
864,1
865,4
866,1
867,0
868,0
869,2
870,2
871,2
872,1
873,2
874,1
875,5
876,2
877,3
878,4
879,6
880,1
881,0
882,6
883,6
884,4
885,1
886,2
887,1
888,4
889,2
890,1
891,5
892,6
893,4
894,1
895,6
896,2
897,6
898,2
899,2
900,1
901,2
902,1
903,5
904,0
905,2
906,0
907,2
908,2
909,5
910,4
911,2
912,2
913,2
914,5
915,2
916,0
917,5
918,1
919,2
920,2
921,1
922,4
923,1
924,2
925,1
926,1
927,2
928,5
929,6
930,1
931,5
932,2
933,1
934,2
935,1
936,1
937,2
938,1
939,4
940,1
941,2
942,1
943,2
944,1
945,2
946,2
947,4
948,2
949,4
950,1
951,1
952,4
953,3
954,4
955,2
956,1
957,2
958,1
959,4
960,2
961,4
