stim_idx,cluster_id
0,26
1,8
2,3
3,19
4,34
5,29
6,47
7,15
8,43
9,31
10,3
11,17
12,28
13,43
14,5
15,26
16,17
17,6
18,0
19,24
20,41
21,14
22,47
23,34
24,12
25,15
26,33
27,35
28,18
29,47
30,34
31,30
32,2
33,12
34,44
35,9
36,38
37,14
38,26
39,45
40,14
41,12
42,41
43,23
44,5
45,25
46,10
47,0
48,29
49,2
50,27
51,8
52,3
53,32
54,26
55,8
56,39
57,15
58,43
59,26
60,24
61,33
62,2
63,3
64,4
65,33
66,27
67,4
68,9
69,34
70,13
71,41
72,35
73,13
74,42
75,34
76,21
77,24
78,7
79,3
80,35
81,10
82,37
83,12
84,4
85,13
86,28
87,4
88,41
89,15
90,8
91,24
92,41
93,37
94,43
95,4
96,11
97,13
98,34
99,41
100,7
101,34
102,41
103,4
104,3
105,19
106,5
107,8
108,34
109,36
110,42
111,6
112,10
113,8
114,33
115,38
116,41
117,18
118,46
119,41
120,32
121,30
122,45
123,30
124,9
125,10
126,33
127,30
128,34
129,6
130,8
131,14
132,27
133,21
134,47
135,8
136,40
137,6
138,23
139,31
140,11
141,29
142,5
143,0
144,26
145,40
146,2
147,5
148,15
149,44
150,28
151,36
152,41
153,5
154,34
155,40
156,22
157,34
158,34
159,13
160,34
161,6
162,45
163,19
164,45
165,34
166,30
167,7
168,47
169,26
170,22
171,28
172,14
173,17
174,2
175,29
176,13
177,29
178,10
179,15
180,30
181,12
182,3
183,20
184,41
185,27
186,7
187,19
188,3
189,25
190,14
191,41
192,29
193,7
194,34
195,21
196,30
197,15
198,2
199,33
200,38
201,4
202,21
203,9
204,12
205,17
206,10
207,26
208,30
209,30
210,14
211,0
212,26
213,20
214,16
215,11
216,15
217,41
218,15
219,2
220,33
221,34
222,22
223,13
224,8
225,43
226,34
227,26
228,4
229,18
230,40
231,4
232,24
233,27
234,35
235,11
236,45
237,33
238,34
239,33
240,16
241,23
242,27
243,41
244,16
245,3
246,41
247,24
248,32
249,12
250,12
251,34
252,2
253,5
254,21
255,10
256,44
257,30
258,33
259,1
260,34
261,4
262,29
263,40
264,14
265,18
266,40
267,42
268,34
269,3
270,35
271,7
272,20
273,44
274,18
275,43
276,10
277,41
278,30
279,26
280,37
281,14
282,41
283,12
284,46
285,7
286,24
287,41
288,40
289,46
290,12
291,37
292,14
293,17
294,2
295,28
296,17
297,14
298,11
299,20
300,8
301,12
302,24
303,15
304,10
305,47
306,37
307,47
308,31
309,38
310,18
311,8
312,34
313,16
314,29
315,5
316,2
317,21
318,40
319,31
320,16
321,10
322,30
323,40
324,17
325,41
326,23
327,10
328,12
329,12
330,10
331,18
332,43
333,26
334,47
335,4
336,39
337,34
338,15
339,47
340,30
341,20
342,30
343,28
344,43
345,1
346,41
347,15
348,26
349,42
350,46
351,47
352,30
353,29
354,12
355,8
356,45
357,16
358,6
359,2
360,10
361,23
362,33
363,5
364,0
365,44
366,3
367,8
368,38
369,25
370,7
371,40
372,23
373,32
374,4
375,39
376,25
377,29
378,32
379,10
380,32
381,34
382,18
383,21
384,4
385,17
386,33
387,28
388,5
389,2
390,21
391,1
392,31
393,12
394,25
395,47
396,15
397,3
398,10
399,42
400,34
401,3
402,45
403,2
404,13
405,26
406,41
407,5
408,4
409,8
410,17
411,34
412,1
413,33
414,45
415,38
416,17
417,15
418,25
419,7
420,29
421,25
422,6
423,12
424,28
425,13
426,9
427,12
428,0
429,10
430,7
431,16
432,42
433,0
434,25
435,40
436,26
437,1
438,21
439,29
440,11
441,3
442,40
443,6
444,20
445,21
446,28
447,4
448,24
449,26
450,30
451,28
452,21
453,17
454,42
455,23
456,8
457,36
458,18
459,25
460,33
461,7
462,4
463,35
464,23
465,21
466,29
467,18
468,7
469,22
470,2
471,10
472,42
473,34
474,18
475,26
476,46
477,24
478,44
479,30
480,34
481,25
482,44
483,24
484,2
485,7
486,32
487,47
488,5
489,26
490,41
491,41
492,4
493,41
494,27
495,30
496,46
497,34
498,24
499,26
500,6
501,47
502,28
503,25
504,18
505,17
506,9
507,42
508,32
509,7
510,31
511,7
512,43
513,27
514,15
515,24
516,25
517,20
518,4
519,39
520,10
521,4
522,46
523,33
524,44
525,6
526,8
527,20
528,0
529,15
530,12
531,5
532,18
533,34
534,21
535,5
536,24
537,28
538,23
539,14
540,24
541,0
542,41
543,40
544,10
545,32
546,21
547,25
548,3
549,4
550,35
551,42
552,15
553,5
554,24
555,6
556,47
557,33
558,5
559,42
560,0
561,42
562,26
563,47
564,33
565,35
566,23
567,32
568,18
569,32
570,0
571,14
572,44
573,28
574,3
575,34
576,1
577,34
578,1
579,15
580,34
581,10
582,32
583,38
584,12
585,3
586,39
587,5
588,18
589,15
590,10
591,32
592,17
593,38
594,5
595,21
596,20
597,33
598,6
599,33
600,15
601,34
602,26
603,25
604,37
605,34
606,5
607,16
608,10
609,24
610,41
611,12
612,24
613,45
614,12
615,3
616,44
617,28
618,16
619,28
620,30
621,17
622,26
623,32
624,7
625,34
626,34
627,16
628,22
629,8
630,2
631,34
632,31
633,34
634,9
635,15
636,17
637,13
638,12
639,8
640,39
641,18
642,26
643,18
644,15
645,12
646,27
647,4
648,34
649,8
650,24
651,21
652,41
653,9
654,6
655,28
656,12
657,29
658,12
659,45
660,31
661,12
662,15
663,2
664,7
665,10
666,18
667,34
668,2
669,4
670,15
671,47
672,26
673,34
674,34
675,26
676,32
677,0
678,19
679,30
680,34
681,37
682,16
683,26
684,32
685,3
686,34
687,10
688,10
689,25
690,8
691,23
692,15
693,19
694,11
695,44
696,34
697,26
698,5
699,10
700,4
701,37
702,26
703,30
704,34
705,5
706,31
707,28
708,6
709,29
710,42
711,29
712,13
713,45
714,44
715,3
716,32
717,26
718,33
719,34
720,4
721,40
722,35
723,3
724,30
725,3
726,34
727,14
728,36
729,5
730,41
731,6
732,19
733,14
734,12
735,43
736,10
737,12
738,1
739,46
740,41
741,3
742,15
743,18
744,32
745,5
746,22
747,8
748,31
749,5
750,17
751,8
752,7
753,12
754,29
755,20
756,21
757,7
758,34
759,27
760,21
761,43
762,12
763,26
764,30
765,15
766,18
767,47
768,10
769,8
770,12
771,39
772,9
773,14
774,30
775,33
776,33
777,41
778,38
779,36
780,19
781,27
782,3
783,8
784,29
785,15
786,41
787,10
788,0
789,18
790,6
791,11
792,27
793,3
794,9
795,14
796,18
797,39
798,36
799,1
800,8
801,21
802,41
803,35
804,41
805,24
806,12
807,34
808,22
809,8
810,21
811,14
812,11
813,18
814,21
815,9
816,12
817,0
818,8
819,45
820,46
821,24
822,8
823,21
824,12
825,38
826,5
827,21
828,12
829,36
830,4
831,23
832,24
833,5
834,47
835,43
836,42
837,37
838,18
839,13
840,11
841,32
842,12
843,14
844,4
845,30
846,12
847,15
848,6
849,39
850,30
851,13
852,25
853,3
854,21
855,5
856,35
857,45
858,10
859,38
860,41
861,4
862,6
863,10
864,18
865,33
866,8
867,17
868,14
869,24
870,4
871,17
872,7
873,0
874,26
875,7
876,41
877,23
878,34
879,0
880,40
881,17
882,0
883,0
884,16
885,30
886,33
887,0
888,25
889,32
890,21
891,37
892,36
893,45
894,26
895,0
896,45
897,36
898,4
899,4
900,24
901,9
902,22
903,37
904,14
905,3
906,14
907,32
908,47
909,10
910,3
911,41
912,34
913,43
914,1
915,40
916,17
917,1
918,0
919,41
920,3
921,39
922,41
923,29
924,33
925,18
926,20
927,8
928,13
929,12
930,45
931,37
932,16
933,12
934,26
935,21
936,47
937,41
938,22
939,34
940,26
941,23
942,29
943,4
944,24
