stim_idx,cluster_id
0,7
1,11
2,5
3,12
4,2
5,1
6,6
7,1
8,13
9,0
10,1
11,11
12,6
13,2
14,4
15,8
16,19
17,11
18,6
19,1
20,0
21,2
22,9
23,2
24,1
25,8
26,1
27,22
28,24
29,12
30,2
31,11
32,1
33,2
34,6
35,0
36,11
37,19
38,3
39,10
40,19
41,9
42,2
43,17
44,14
45,15
46,1
47,6
48,0
49,1
50,21
51,11
52,5
53,15
54,3
55,10
56,0
57,8
58,13
59,3
60,4
61,1
62,1
63,5
64,24
65,1
66,21
67,14
68,5
69,27
70,6
71,6
72,6
73,7
74,0
75,15
76,0
77,9
78,10
79,6
80,2
81,13
82,6
83,1
84,14
85,13
86,15
87,19
88,2
89,9
90,2
91,4
92,2
93,3
94,22
95,2
96,5
97,6
98,20
99,11
100,13
101,11
102,1
103,7
104,7
105,26
106,27
107,10
108,27
109,9
110,0
111,22
112,10
113,6
114,14
115,26
116,2
117,1
118,12
119,7
120,24
121,11
122,7
123,11
124,25
125,11
126,27
127,11
128,3
129,22
130,12
131,2
132,12
133,4
134,6
135,1
136,7
137,22
138,17
139,5
140,15
141,1
142,16
143,1
144,6
145,2
146,1
147,16
148,8
149,0
150,6
151,24
152,2
153,1
154,11
155,16
156,2
157,11
158,1
159,6
160,13
161,0
162,11
163,26
164,2
165,27
166,11
167,12
168,21
169,6
170,3
171,6
172,19
173,11
174,23
175,4
176,13
177,1
178,10
179,8
180,6
181,1
182,2
183,17
184,6
185,21
186,0
187,12
188,11
189,15
190,19
191,11
192,12
193,21
194,2
195,3
196,11
197,8
198,23
199,7
200,25
201,14
202,0
203,11
204,2
205,2
206,1
207,9
208,1
209,11
210,11
211,1
212,2
213,6
214,7
215,25
216,18
217,11
218,8
219,9
220,27
221,11
222,2
223,7
224,12
225,6
226,2
227,3
228,20
229,2
230,11
231,3
232,23
233,4
234,22
235,25
236,20
237,27
238,27
239,1
240,13
241,0
242,17
243,2
244,13
245,7
246,11
247,23
248,24
249,12
250,2
251,5
252,1
253,13
254,0
255,11
256,6
257,2
258,2
259,6
260,27
261,14
262,1
263,27
264,19
265,21
266,1
267,0
268,2
269,1
270,22
271,13
272,1
273,0
274,26
275,7
276,2
277,6
278,15
279,3
280,13
281,11
282,2
283,2
284,26
285,6
286,23
287,10
288,18
289,12
290,2
291,6
292,19
293,2
294,1
295,6
296,2
297,19
298,2
299,11
300,26
301,10
302,4
303,8
304,10
305,9
306,6
307,2
308,25
309,2
310,2
311,2
312,27
313,13
314,4
315,27
316,5
317,4
318,2
319,21
320,7
321,10
322,7
323,2
324,23
325,11
326,17
327,1
328,21
329,3
330,2
331,2
332,10
333,27
334,1
335,1
336,0
337,2
338,1
339,1
340,11
341,1
342,11
343,6
344,27
345,6
346,2
347,8
348,8
349,1
350,11
351,6
352,11
353,1
354,2
355,20
356,6
357,7
358,22
359,4
360,10
361,21
362,11
363,16
364,2
365,2
366,27
367,1
368,21
369,20
370,1
371,14
372,17
373,24
374,14
375,0
376,15
377,5
378,2
379,7
380,24
381,2
382,21
383,9
384,14
385,15
386,27
387,13
388,27
389,22
390,3
391,6
392,0
393,2
394,1
395,1
396,8
397,11
398,11
399,0
400,13
401,14
402,10
403,2
404,6
405,2
406,2
407,14
408,11
409,1
410,2
411,2
412,6
413,27
414,2
415,11
416,2
417,1
418,15
419,2
420,1
421,14
422,5
423,11
424,6
425,6
426,0
427,2
428,9
429,2
430,10
431,9
432,5
433,9
434,14
435,14
436,25
437,6
438,12
439,2
440,22
441,27
442,2
443,1
444,10
445,9
