stim_idx,cluster_id
0,2
1,2
2,5
3,4
4,5
5,1
6,2
7,6
8,2
9,4
10,1
11,5
12,2
13,5
14,1
15,6
16,5
17,2
18,1
19,0
20,4
21,5
22,4
23,5
24,4
25,6
26,1
27,2
28,5
29,4
30,5
31,2
32,4
33,5
34,2
35,4
36,2
37,5
38,1
39,5
40,2
41,6
42,2
43,3
44,5
45,2
46,1
47,2
48,4
49,4
50,3
51,2
52,5
53,2
54,6
55,4
56,4
57,6
58,2
59,6
60,0
61,1
62,1
63,5
64,5
65,1
66,3
67,5
68,2
69,1
70,4
71,4
72,4
73,2
74,4
75,2
76,4
77,6
78,2
79,4
80,5
81,2
82,4
83,1
84,5
85,2
86,2
87,5
88,5
89,6
90,5
91,0
92,2
93,2
94,4
95,5
96,4
97,2
98,2
99,2
100,5
101,2
102,1
103,1
104,2
105,4
106,1
107,2
108,5
109,4
110,4
111,4
112,2
113,4
114,5
115,4
116,5
117,1
118,4
119,1
120,5
121,2
122,2
123,2
124,3
125,2
126,1
127,2
128,1
129,4
130,4
131,5
132,0
133,0
134,2
135,6
136,2
137,4
138,3
139,4
140,2
141,4
142,1
143,4
144,4
145,5
146,0
147,1
148,6
149,4
150,4
151,0
152,5
153,1
154,5
155,1
156,5
157,2
158,1
159,2
160,2
161,4
162,4
163,2
164,2
165,1
166,2
167,4
168,3
169,4
170,1
171,4
172,1
173,4
174,0
175,0
176,5
177,4
178,2
179,6
180,1
181,1
182,5
183,3
184,2
185,3
186,4
187,4
188,2
189,5
190,2
191,5
192,4
193,3
194,5
195,0
196,1
197,6
198,0
199,2
200,3
201,5
202,4
203,1
204,5
205,4
206,4
207,6
208,1
209,2
210,2
211,4
212,5
213,4
214,5
215,0
216,6
217,2
218,6
219,0
220,3
221,1
222,2
223,2
224,4
225,4
226,2
227,1
228,5
229,5
230,1
231,1
232,0
233,0
234,4
235,3
236,5
237,1
238,1
239,1
240,2
241,4
242,3
243,5
244,2
245,2
246,2
247,0
248,5
249,4
250,2
251,4
252,5
253,1
254,4
255,1
256,2
257,5
258,5
259,4
260,1
261,5
262,0
263,5
264,1
265,3
266,4
267,4
268,5
269,1
270,2
271,2
272,1
273,4
274,5
275,2
276,2
277,2
278,5
279,0
280,2
281,5
282,5
283,1
284,2
285,4
286,0
287,2
288,6
289,4
290,2
291,2
292,5
293,5
294,1
295,1
296,5
297,5
298,5
299,2
300,4
301,2
302,0
303,6
304,2
305,4
306,4
307,2
308,3
309,5
310,5
311,5
312,1
313,2
314,0
315,1
316,5
317,1
318,5
319,3
320,2
321,2
322,2
323,5
324,0
325,2
326,3
327,1
328,4
329,0
330,5
331,4
332,2
333,1
334,4
335,1
336,4
337,5
338,6
339,4
340,2
341,4
342,1
343,4
344,1
345,4
346,1
347,6
348,6
349,4
350,4
351,4
352,2
353,6
354,1
355,5
356,5
357,2
358,4
359,0
360,5
361,3
362,2
363,1
364,2
365,2
366,1
367,4
368,3
369,5
370,4
371,5
372,3
373,5
374,1
375,4
376,2
377,4
378,5
379,2
380,5
381,5
382,3
383,6
384,5
385,2
386,1
387,2
388,1
389,4
390,6
391,4
392,4
393,1
394,4
395,6
396,6
397,1
398,2
399,4
400,5
401,5
402,2
403,5
404,5
405,5
406,5
407,1
408,5
409,4
410,5
411,5
412,4
413,1
414,5
415,4
416,5
417,6
418,2
419,4
420,6
421,2
422,4
423,1
424,2
425,4
426,4
427,5
428,6
429,5
430,2
431,1
432,4
433,6
434,1
435,5
436,3
437,4
438,5
439,5
440,4
441,1
442,2
443,6
444,2
445,0
446,1
447,5
448,6
449,4
450,5
451,5
452,3
453,5
454,4
455,3
456,2
457,6
458,1
459,4
460,1
461,4
462,1
463,6
464,3
465,0
466,4
467,6
468,2
469,2
470,0
471,2
472,4
473,1
474,0
475,0
476,4
477,0
478,2
479,2
480,5
481,2
482,5
483,0
484,4
485,4
486,2
487,2
488,1
489,1
490,5
491,1
492,6
493,5
494,3
495,1
496,4
497,5
498,0
499,1
500,4
501,4
502,2
503,2
504,5
505,5
506,3
507,4
508,5
509,2
510,4
511,4
512,2
513,3
514,6
515,0
516,2
517,4
518,6
519,4
520,4
521,1
522,4
523,2
524,2
525,2
526,4
527,2
528,2
529,6
530,5
531,1
532,1
533,5
534,6
535,1
536,0
537,5
538,4
539,5
540,0
541,4
542,4
543,5
544,4
