setting,video,brain,nmi,ari,n_video_clusters,n_brain_clusters
agglomerative_ward_K10,video.vjepa2,brain.roi_mean,0.058419058932512063,0.01822048589331465,10,10
agglomerative_ward_K10,video.vjepa2,brain.brain_jepa,0.025573054498916392,0.005409666973378812,10,10
agglomerative_ward_K10,video.vjepa2,brain.swift,0.02081854168485351,0.008107068016264653,10,10
agglomerative_ward_K10,video.clip,brain.roi_mean,0.07205744203777607,0.025045940110219576,10,10
agglomerative_ward_K10,video.clip,brain.brain_jepa,0.03179142150776904,0.00976219228298597,10,10
agglomerative_ward_K10,video.clip,brain.swift,0.022539480844733187,0.006463862785541828,10,10
agglomerative_ward_K11,video.vjepa2,brain.roi_mean,0.0629633700468503,0.020428337187795773,11,11
agglomerative_ward_K11,video.vjepa2,brain.brain_jepa,0.03082725307054371,0.008447698657786107,11,11
agglomerative_ward_K11,video.vjepa2,brain.swift,0.022550675155724967,0.008546386145718522,11,11
agglomerative_ward_K11,video.clip,brain.roi_mean,0.07420605704708617,0.02631414423688519,11,11
agglomerative_ward_K11,video.clip,brain.brain_jepa,0.0374668330849176,0.01194613345110317,11,11
agglomerative_ward_K11,video.clip,brain.swift,0.023208899445988168,0.006162833384847993,11,11
agglomerative_ward_K12,video.vjepa2,brain.roi_mean,0.06431871352664291,0.01961146955626152,12,12
agglomerative_ward_K12,video.vjepa2,brain.brain_jepa,0.03208644182517091,0.008322233238266002,12,12
agglomerative_ward_K12,video.vjepa2,brain.swift,0.024090971399629527,0.007215723182233761,12,12
agglomerative_ward_K12,video.clip,brain.roi_mean,0.0780612037519526,0.0277190711165784,12,12
agglomerative_ward_K12,video.clip,brain.brain_jepa,0.041410467492216614,0.013106910887363642,12,12
agglomerative_ward_K12,video.clip,brain.swift,0.024302361723942557,0.005969830007963937,12,12
agglomerative_ward_K13,video.vjepa2,brain.roi_mean,0.06705309145872407,0.01906362432851223,13,13
agglomerative_ward_K13,video.vjepa2,brain.brain_jepa,0.03673138668012217,0.009551839211513372,13,13
agglomerative_ward_K13,video.vjepa2,brain.swift,0.02473785457489405,0.008335767751992509,13,13
agglomerative_ward_K13,video.clip,brain.roi_mean,0.07898188344828114,0.025660994234222665,13,13
agglomerative_ward_K13,video.clip,brain.brain_jepa,0.045526237955116615,0.016711576457272045,13,13
agglomerative_ward_K13,video.clip,brain.swift,0.02604626450188508,0.007623374869631677,13,13
agglomerative_ward_K14,video.vjepa2,brain.roi_mean,0.06887703750300883,0.0180300971369207,14,14
agglomerative_ward_K14,video.vjepa2,brain.brain_jepa,0.03937256293809021,0.009606398805752514,14,14
agglomerative_ward_K14,video.vjepa2,brain.swift,0.026595000494387,0.0059366457208537724,14,14
agglomerative_ward_K14,video.clip,brain.roi_mean,0.08458978542362372,0.02326319252910021,14,14
agglomerative_ward_K14,video.clip,brain.brain_jepa,0.04893119460502926,0.01374408561077062,14,14
agglomerative_ward_K14,video.clip,brain.swift,0.02857449041078618,0.004399094926041036,14,14
agglomerative_ward_K15,video.vjepa2,brain.roi_mean,0.07306355067608529,0.018361117658143356,15,15
agglomerative_ward_K15,video.vjepa2,brain.brain_jepa,0.04117043724395578,0.0096874010510514,15,15
agglomerative_ward_K15,video.vjepa2,brain.swift,0.028869051994628272,0.005835651117599794,15,15
agglomerative_ward_K15,video.clip,brain.roi_mean,0.0875371943329093,0.024728565494153986,15,15
agglomerative_ward_K15,video.clip,brain.brain_jepa,0.05240377895259684,0.01399284911377258,15,15
agglomerative_ward_K15,video.clip,brain.swift,0.030872697466669513,0.005017617755758109,15,15
agglomerative_ward_K16,video.vjepa2,brain.roi_mean,0.07491265006213871,0.019186440053827677,16,16
agglomerative_ward_K16,video.vjepa2,brain.brain_jepa,0.0433418709347036,0.009248219954102238,16,16
agglomerative_ward_K16,video.vjepa2,brain.swift,0.030218285838221743,0.00565314744955637,16,16
agglomerative_ward_K16,video.clip,brain.roi_mean,0.09205219885675768,0.024964230797081464,16,16
agglomerative_ward_K16,video.clip,brain.brain_jepa,0.05577436211451151,0.012912466687040769,16,16
agglomerative_ward_K16,video.clip,brain.swift,0.03306160879297725,0.005412792210301728,16,16
agglomerative_ward_K17,video.vjepa2,brain.roi_mean,0.07818955862404013,0.019339521764123433,17,17
agglomerative_ward_K17,video.vjepa2,brain.brain_jepa,0.04615124964958015,0.009523346155260605,17,17
agglomerative_ward_K17,video.vjepa2,brain.swift,0.033474938046390845,0.004066791814671652,17,17
agglomerative_ward_K17,video.clip,brain.roi_mean,0.09775978409953474,0.025832003376574656,17,17
agglomerative_ward_K17,video.clip,brain.brain_jepa,0.06047985822504711,0.013109726144143023,17,17
agglomerative_ward_K17,video.clip,brain.swift,0.03507926317049952,0.003224648954574737,17,17
agglomerative_ward_K18,video.vjepa2,brain.roi_mean,0.08337014704465502,0.0185511883374493,18,18
agglomerative_ward_K18,video.vjepa2,brain.brain_jepa,0.048116967285684965,0.009530007602037944,18,18
agglomerative_ward_K18,video.vjepa2,brain.swift,0.03684784468044311,0.004135827118832573,18,18
agglomerative_ward_K18,video.clip,brain.roi_mean,0.10234876162732404,0.027369378678614942,18,18
agglomerative_ward_K18,video.clip,brain.brain_jepa,0.06523385058672579,0.013442708992651868,18,18
agglomerative_ward_K18,video.clip,brain.swift,0.03723609528782658,0.004046777888343823,18,18
agglomerative_ward_K19,video.vjepa2,brain.roi_mean,0.08618278395469595,0.01809909997709662,19,19
agglomerative_ward_K19,video.vjepa2,brain.brain_jepa,0.05101428457663628,0.009627364876152532,19,19
